model,mae_mean,rmse_mean,mape_mean,r2_mean
Lag-1 Baseline,17.69653808098358,22.25030772795262,9.327829016210446,-1.374557099413025
LightGBM-lag,15.553160828731997,19.406441794860555,8.186793219740084,-0.812468787622466
Ridge,16.100648458269152,19.693994354001248,,
LightGBM-No-Lag,14.158071366044243,17.363985626936486,7.423570557265875,-0.357369547211637
LightGBM-nolag1_withcountyascategory,14.08032408689106,17.2365444174859,7.388439733495614,-0.3423562735730444
LightGBM-limited_withcountyascategory,13.841459395139251,17.118076017779682,7.3261930120868906,-0.2371018200181795
