feature,mean_abs_shap
rolling_3yr_mean,5.185935468463575
temp_anomaly,4.613095694380915
ndvi_anomaly,4.4577052807484545
ndvi_at_cutoff,3.87100054107386
cumulative_gdd,2.8283582554202407
rain_days,1.6720050201496055
ndvi_auc,1.4566383231968698
ndvi_slope,1.230919746984913
rain_sum_mm,1.1580107026775186
yield_trend_5yr,1.0845487767823054
yield_std_5yr,1.0297282162691535
water_balance_total_mm,0.7060750552493457
heat_rain_stress_idx,0.6266494308612952
ndvi_peak,0.6006073130266343
et_rain_ratio,0.43311440770793347
net_moisture_stress,0.2919392928644992
heat_days_gt32,0.16721533672543507
day_of_peak_ndvi,0.0
ndvi_drop_rate,0.0
