county,year,rolling_3yr_mean,yield_bu_acre,lag1_yield,ndvi_peak,ndvi_slope,heat_days_gt32,temp_anomaly,net_moisture_stress,wind_severe_days_58_cutoff
adair,2013,132.1,137.8,104.4,0.7638667940514211,0.003014794139040413,0,-3.5451096160112865,0.22343496450998376,0
adair,2014,131.66666666666669,169.3,137.8,0.8351720612406619,0.003749802865419415,0,-2.8502456772919267,0.1541922137865954,0
adair,2015,137.16666666666666,176.5,169.3,0.8300100330976948,0.0037019091189573264,0,-2.2514143067715153,0.2621649974853268,0
adair,2016,161.20000000000002,190.3,176.5,0.8487826262867022,0.004198834484467416,0,-1.655326066880754,-0.10119948961325999,0
adair,2017,178.70000000000002,175.2,190.3,0.8200546570298088,0.002986660222237839,2,-1.4653492218057877,-0.3622053585217204,1
adair,2018,180.66666666666666,149.5,175.2,0.8415655902788242,0.003909708183438411,3,-1.5388150906608544,-0.035330218022281944,1
adair,2019,171.66666666666666,176.5,149.5,0.7885554529174145,0.0038521513761353697,0,-2.6801741162355235,0.20996122715792218,1
adair,2020,167.06666666666663,168.7,176.5,0.8180725126270297,0.003748516316557965,0,-2.404911563572025,0.0030629422869555135,0
adair,2021,164.9,204.0,168.7,0.8575798517666317,0.0044778409951744275,2,-1.7841126860229117,-0.15837967453670318,0
adair,2022,183.0666666666667,164.2,204.0,0.7804990155416257,0.0035959987888074885,3,-2.2368825780689683,0.06766234832867894,1
adair,2023,178.96666666666667,201.0,164.2,0.8582215669143174,0.0036974868401205337,0,-1.4134300806355995,-0.5717062829616827,0
adair,2024,189.73333333333332,211.2,201.0,0.862954321824379,0.0038397324064278274,1,-1.097341327312673,0.1698889826728774,2
adams,2013,133.6,147.6,109.8,0.7748899900897733,0.0027565505442167064,0,-3.565490207221302,0.24235482818640042,0
adams,2014,136.36666666666667,169.9,147.6,0.8581571037369695,0.003923493335788282,0,-2.6545092500545984,-0.04877615515368664,2
adams,2015,142.4333333333333,169.6,169.9,0.8065966920479393,0.003488602179184674,0,-2.2480642008244622,0.14267924904839133,0
adams,2016,162.36666666666667,187.4,169.6,0.8574094477411899,0.0038637343720831184,1,-1.582025338322108,-0.18123825410216732,0
adams,2017,175.63333333333333,179.9,187.4,0.8367929012486063,0.0031213799922716603,2,-1.5706650716819759,-0.2914641130353364,0
adams,2018,178.9666666666667,171.6,179.9,0.869050438637446,0.004097219194096499,6,-1.2986616682046623,-0.23769342153386905,0
adams,2019,179.63333333333333,198.0,171.6,0.7953205243709575,0.0038712143558149626,0,-2.7351269411198444,0.218033634287359,0
