,2023,2024,ratio_b_to_a
temp_anomaly,10.261062917697444,11.560533413123116,1.1266409246145885
county,5.662880890201638,6.869750780393691,1.2131194198840158
net_moisture_stress,5.064252691080954,4.425770555529681,0.873923720932063
ndvi_peak,3.711996762573599,2.9064432356320555,0.7829864683440516
rolling_3yr_mean,2.3300489494395613,3.025551638034243,1.2984927371426975
ndvi_slope,1.1435905232374382,1.6214447723324206,1.4178543275631603
heat_days_gt32,0.6114320673785854,0.8637163596018611,1.412612137444644
wind_severe_days_58_cutoff,0.07954739439492542,0.17155123665411134,2.1565915258319905
