county,year,yield_bu_acre,lag1_yield,rolling_3yr_mean,yield_std_5yr,yield_trend_5yr,ndvi_at_cutoff,ndvi_auc,ndvi_peak,day_of_peak_ndvi,ndvi_anomaly,ndvi_slope,ndvi_drop_rate,heat_days_gt32,rain_sum_mm,rain_days,cumulative_gdd,temp_anomaly,water_balance_total_mm,et_rain_ratio,heat_rain_stress_idx,net_moisture_stress
adair,2013,137.8,104.4,132.1,29.238963729927235,-15.569999999999975,0.4901391883095108,38.56838736304253,0.4901391883095108,145,0.057726656647448193,0.0019040540770897398,0,0,374.2146813387399,43,240.90136561621597,-7.904902366347001,214.50841691122415,0.4267771200996046,0.0,0.5732228772281326
adair,2014,169.3,137.8,131.66666666666669,27.135898732122374,-11.769999999999989,0.5487454879449702,34.648096508484464,0.5487454879449702,145,0.11633295628290763,0.002469976540327932,0,0,235.01248202865816,37,275.5816030696154,-6.41708229704801,52.27721859851496,0.7775555624756318,0.0,0.22244443326927496
adair,2015,176.5,169.3,137.16666666666666,23.942785969890824,4.540000000000004,0.5490389082054254,37.26187534555249,0.5490389082054254,145,0.11662637654336283,0.0026375347668358986,0,0,291.59143306013164,39,266.4788985689521,-5.553133424278043,109.04397131589201,0.6260384922919061,0.0,0.37396150427863767
adair,2016,190.3,176.5,161.20000000000002,28.696045023661366,11.230000000000004,0.5530453042585401,38.22663085946097,0.5530453042585401,145,0.12063277259647753,0.003609902750822748,0,0,248.5079276216504,35,267.5044189444111,-5.929139684393531,62.45388498186582,0.7486845336152197,0.0,0.2513154623607641
adair,2017,175.2,190.3,178.70000000000002,34.52119638714742,21.050000000000004,0.5532419466585082,47.14375701601693,0.5532419466585082,145,0.12082941499644562,0.0018885761029884777,0,0,228.4366465004311,35,273.553360612219,-5.676155046472802,35.449464412529984,0.8448170825459909,0.0,0.15518291307642784
adair,2018,149.5,175.2,180.66666666666666,19.484275711455105,9.57999999999999,0.6024714220966086,40.8163196230121,0.6024714220966086,145,0.17005889043454603,0.0028825543221619038,0,0,230.5436649359009,39,369.49850745592886,-6.2276899918625155,39.58889451221343,0.8282802724095637,0.0,0.17171972325286314
adair,2019,176.5,149.5,171.66666666666666,14.822213060133748,-4.089999999999982,0.5224789711954444,33.49965760760386,0.5224789711954444,145,0.09006643953338178,0.0031715253449108305,0,0,339.80492348093236,43,225.843265255552,-6.681100596089722,168.58847772722467,0.5038668760179056,0.0,0.4961331210392296
adair,2020,168.7,176.5,167.06666666666663,14.824641648282746,-4.079999999999986,0.5093548523595663,36.93927259353994,0.5093548523595663,145,0.07694232069750373,0.002849557968138622,0,0,172.360683524094,44,231.7939861211981,-7.215270108905468,3.259495137696547,0.9810890972805292,0.0,0.01891089691768373
adair,2022,164.2,168.7,164.9,14.853551763803816,-4.189999999999998,0.4986650211703081,34.36980479768002,0.4986650211703081,145,0.06625248950824547,0.0026558004121310964,0,0,295.9979638435496,36,264.12738312736747,-6.806568685045262,112.38634473117511,0.6203137890134576,0.0,0.37968620760814076
adair,2024,211.2,164.2,169.79999999999998,10.889306681327312,-0.2799999999999903,0.5723268918346488,42.38165615140982,0.5723268918346488,145,0.13991436017258618,0.002967251241903727,0,0,313.9728102273828,39,330.63116628441,-4.638804483962668,101.3425113511523,0.6772251968092904,0.0,0.3227748000057204
adams,2013,147.6,109.8,133.6,22.198130551918112,-10.879999999999985,0.5058744211078342,42.278869301906965,0.5058744211078342,145,0.06454880975550431,0.001531378824759789,0,0,399.4885741337882,43,256.71783610933215,-7.916306718643993,232.70815851899906,0.4174848193316535,0.0,0.5825151781651463
adams,2014,169.9,147.6,136.36666666666667,21.461244139145343,-7.049999999999982,0.5601866374592753,35.851890608807274,0.5601866374592753,145,0.11886102610694543,0.0026801504720348275,0,0,211.93481571439867,39,301.4221521652028,-6.276911112233083,16.761223527077277,0.9209133035009319,0.0,0.07908669178063622
adams,2015,169.6,169.9,142.4333333333333,21.98983856239059,5.710000000000008,0.5411491126184002,39.25812856639658,0.5411491126184002,145,0.09982350126607026,0.0025375861075405902,0,0,278.9321251895988,42,285.66852412936004,-5.568441144986036,91.16143968823485,0.6731769770174499,0.0,0.3268230193974487
adams,2016,187.4,169.6,162.36666666666667,24.51768749291009,9.590000000000016,0.5773182946373313,43.51542531086879,0.5773182946373313,145,0.13599268328500141,0.0031310230558508926,0,0,238.31302287255824,37,283.09149469609605,-5.953637356576394,45.61534886425001,0.8085906127873079,0.0,0.1914093830165302
adams,2017,179.9,187.4,175.63333333333333,29.855619236585927,17.72000000000002,0.5730415880190578,48.40375261214069,0.5730415880190578,145,0.1317159766667279,0.0020708935988524115,0,0,235.11427121080337,34,289.9645083791395,-5.755380184235351,35.188553580504774,0.8503342470466673,0.0,0.149665748700082
adams,2018,171.6,179.9,178.9666666666667,14.990230151668753,8.209999999999996,0.6296870375492724,41.902906333185655,0.6296870375492724,145,0.18836142619694246,0.003062606971948048,0,0,177.77485945230734,41,400.7830856817596,-5.931605901022172,-25.053716043629993,1.1409294597666202,0.0,-0.14092946539171267
adams,2020,173.3,171.6,179.63333333333333,7.78119528093201,1.370000000000025,0.5169749989448383,39.69897839727883,0.5169749989448383,145,0.07564938759250844,0.002660711662212639,0,0,185.6757243200432,43,245.4168243803694,-7.323880886890512,9.652610096853508,0.9480136077011921,0.0,0.051986386913074493
allamakee,2013,162.1,153.6,167.56666666666666,10.057236200865528,-3.9099999999999784,0.5180763709453897,28.341937570806497,0.5180763709453897,145,0.09188184954609185,0.003411669021150424,0,0,359.5029995744335,45,196.3261424677434,-7.493952059020549,221.13664430328782,0.38488233769970326,0.0,0.6151176595186789
allamakee,2014,175.6,162.1,163.0,10.744626564008644,-5.719999999999982,0.5269996439513813,24.114200709242624,0.5269996439513813,145,0.10080512255208346,0.003990957218507874,0,0,283.51008088226916,41,184.79387866921297,-6.911510213925229,136.55965766273715,0.5183252117311118,0.0,0.48167478474167674
allamakee,2015,175.4,175.6,163.76666666666668,9.85936103406302,-1.1599999999999928,0.5534978034828378,34.82148006776113,0.5534978034828378,145,0.12730328208353997,0.0033344385418095264,0,0,239.43006065157624,37,209.12298276162443,-5.638736520645036,83.70688060133931,0.650391095320556,0.0,0.349608900502859
allamakee,2016,205.1,175.4,171.03333333333333,9.78238212298008,2.6199999999999983,0.5869633922084065,34.17572346100899,0.5869633922084065,145,0.16076887080910868,0.0045050119051303255,0,0,136.39158618637413,38,235.14869073461506,-5.816238182325039,-20.843308749892614,1.1528195996532467,0.0,-0.1528196069850774
allamakee,2017,190.5,205.1,185.36666666666665,19.55026854035513,11.630000000000011,0.5318211552928669,39.103643120138976,0.5318211552928669,145,0.10562663389356902,0.003754302302965122,0,0,263.6199642583182,44,196.39063189302203,-5.588928486045024,108.99431098640349,0.5865475823138008,0.0,0.4134524138928598
allamakee,2018,198.4,190.5,190.33333333333334,16.477651531695848,8.630000000000017,0.5276948175429306,38.02165641686781,0.5276948175429306,145,0.1015002961436327,0.0022355706587628985,0,0,283.3497494095141,40,281.7807379810756,-6.913999571270015,139.40658137950666,0.5080052755365835,0.0,0.491994720934209
allamakee,2019,187.2,198.4,198.0,13.363569882332982,6.070000000000013,0.5142746535555901,27.703043631389114,0.5142746535555901,145,0.08808013215629223,0.0037610421945641834,0,0,291.1968990652147,45,162.67704519042616,-6.807280412542724,155.10685161872993,0.46734717098982465,0.0,0.5326528255760729
allamakee,2020,196.3,187.2,192.03333333333333,11.303848902033174,1.6900000000000253,0.494336714870157,31.518639460558067,0.494336714870157,145,0.06814219347085915,0.0033301546943057033,0,0,165.86621233600104,42,161.82575013990504,-7.281204374574525,20.42286690105654,0.8768714406008341,0.0,0.1231285533702106
allamakee,2021,198.5,196.3,193.96666666666667,6.983910079604107,-2.0899999999999848,0.5643579057771098,33.97333650462293,0.5643579057771098,145,0.1381633843778119,0.004329047246866081,0,0,143.67622854324782,40,210.9373983225729,-5.785145529567837,-6.164218635123704,1.0429035314659907,0.0,-0.042903538426084735
allamakee,2022,215.9,198.5,194.0,5.080059054774477,1.3900000000000292,0.4918190216185016,30.21505205365101,0.4918190216185016,145,0.06562450021920374,0.0036581862936524725,0,0,210.9791523667014,40,213.8516206972754,-6.82145113745678,65.78549524553426,0.6881895903184662,0.0,0.31181040494172874
allamakee,2023,183.9,215.9,203.5666666666667,10.39725925424557,4.630000000000011,0.5223657999533087,32.25924585271212,0.5223657999533087,145,0.09617127855401081,0.0034783708391107576,0,0,155.59266496386982,28,264.63466634224034,-5.32123183585256,-16.025269131109564,1.1029950096415906,0.0,-0.10299501606862879
allamakee,2024,216.3,183.9,199.43333333333337,12.505518781721756,1.3000000000000105,0.5966969448413614,46.31460069717076,0.5966969448413614,145,0.1705024234420635,0.00382786721628688,0,0,310.0900383770641,38,254.0374617105561,-4.9073555067579395,142.73312914477347,0.5397042406408527,0.0,0.4602957561342771
appanoose,2015,154.3,170.9,133.36666666666667,26.41774025158095,6.19,0.6137709892622482,41.558326643371025,0.6137709892622482,145,0.15149616261176807,0.00321250559583969,0,0,267.6661246734416,42,306.3981874945928,-5.38140186611578,58.62231092863235,0.7809871840109015,0.0,0.21901281225310085
appanoose,2016,186.3,154.3,144.76666666666665,25.82715625073733,5.340000000000018,0.6104603567969669,51.983294634092395,0.6104603567969669,145,0.14818553014648678,0.0026685268095963622,0,0,210.71589835586266,38,293.71107523419397,-5.976529252313696,-0.2403520688942824,1.001140640405537,0.0,-0.0011406451512629779
appanoose,2017,170.0,186.3,170.5,32.872906777466454,17.760000000000034,0.5998687462914285,52.63602317883819,0.5998687462914285,145,0.13759391964094841,0.002333665464973856,0,0,257.5974493717878,32,312.6512980390063,-5.444903459367948,34.44817601354603,0.866271281164362,0.0,0.13372871495361205
appanoose,2019,166.8,170.0,170.20000000000002,29.64847382244151,13.720000000000029,0.560799475895864,40.223811623580254,0.560799475895864,145,0.0985246492453839,0.003425777398222345,0,0,282.34068532911806,40,264.785888984099,-6.442818526639,94.8411742090536,0.6640895917547663,0.0,0.3359104047034136
appanoose,2020,143.6,166.8,174.36666666666667,11.430791748605964,0.7500000000000009,0.5571324013720167,43.400475895243574,0.5571324013720167,145,0.09485757472153661,0.0032628767045035415,0,0,204.1167555344129,45,234.80697566923055,-7.58066722809696,17.796772748654828,0.9128108145023636,0.0,0.08718918059847965
appanoose,2021,171.6,143.6,160.13333333333335,16.21095308734188,-4.089999999999978,0.5884502854443582,42.01440349847175,0.5884502854443582,145,0.1261754587938781,0.004516286628101754,0,0,227.8985972095222,38,270.0329345117889,-6.577778412058711,25.1322834385506,0.8897216365699413,0.0,0.11027835904214223
appanoose,2022,146.1,171.6,160.66666666666666,15.395388920063,-5.58,0.560516919061547,39.60600334905769,0.560516919061547,145,0.0982420924110669,0.0035063751978412936,0,0,183.2415242552234,39,304.4188167069434,-6.485378352750896,-21.233879846790234,1.1158791863209778,0.0,-0.11587919177825634
appanoose,2023,172.8,146.1,153.76666666666668,13.622114373326935,-4.3,0.6000555158233662,46.16994929546333,0.6000555158233662,145,0.13778068917288616,0.002782533510719441,0,0,109.90988748740375,28,356.6700047583034,-4.9688274450877294,-125.81653836116224,2.144724456485837,0.0,-1.1447244655841997
audubon,2013,157.1,114.8,150.5666666666667,29.904548149069228,-14.61999999999998,0.4321230402395011,31.918570799283778,0.4321230402395011,145,0.01919089992176798,0.0019026941750787194,0,0,398.2072824152002,44,224.52799513177683,-8.012344002384342,248.91296023426617,0.3749161012338108,0.0,0.6250838962549341
audubon,2014,185.5,157.1,149.49999999999997,28.50934934368022,-11.209999999999987,0.49136699637540354,33.236691502463486,0.49136699637540354,145,0.07843485605767042,0.0017644716428374685,0,0,256.3069528042113,41,261.11708719009744,-6.4484252536081,84.63653453289757,0.6697844741366245,0.0,0.3302155219618038
