county,year,yield_bu_acre,lag1_yield,rolling_3yr_mean,yield_std_5yr,yield_trend_5yr,ndvi_at_cutoff,ndvi_auc,ndvi_peak,day_of_peak_ndvi,ndvi_anomaly,ndvi_slope,ndvi_drop_rate,heat_days_gt32,rain_sum_mm,rain_days,cumulative_gdd,temp_anomaly,water_balance_total_mm,et_rain_ratio,heat_rain_stress_idx,net_moisture_stress
adair,2013,137.8,104.4,132.1,29.238963729927235,-15.569999999999975,0.7638667940514211,69.09455465248469,0.7638667940514211,193,0.3314542623893585,0.0030147941390345446,0,0,471.19668383190765,68,773.8813590412336,-3.5451096160112865,105.28181455263929,0.7765650333677602,0.0,0.22343496450998376
adair,2014,169.3,137.8,131.66666666666669,27.135898732122374,-11.769999999999989,0.8351720612406619,68.51103845523943,0.8351720612406619,193,0.4027595295785993,0.0037498028654209545,0,0,457.89415836435666,66,789.9723297023482,-2.8502456772919267,70.60371411234226,0.8458077840294937,0.0,0.1541922137865954
adair,2015,176.5,169.3,137.16666666666666,23.942785969890824,4.540000000000004,0.8300100330976948,70.77030634429114,0.8300100330976948,193,0.3975975014356322,0.0037019091189560128,0,0,517.0712340822943,71,790.7809203651101,-2.2514143067715153,135.5579790450845,0.7378350005807037,0.0,0.2621649974853268
adair,2016,190.3,176.5,161.20000000000002,28.696045023661366,11.230000000000004,0.8487826262867022,71.93776207301853,0.8487826262867022,193,0.4163700946246396,0.004198834484456824,0,0,375.56141349923774,55,878.3041822961509,-1.655326066880754,-38.00662346575684,1.1011994869505797,0.0,-0.10119948961325999
adair,2017,175.2,190.3,178.70000000000002,34.52119638714742,21.050000000000004,0.8200546570298088,80.39279103231756,0.8200546570298088,193,0.3876421253677462,0.0029866602222316575,0,2,302.1151267391679,54,888.8056219908196,-1.4653492218057877,-109.42771815760068,1.362205355211724,0.006619992897961424,-0.3622053585217204
adair,2018,149.5,175.2,180.66666666666666,19.484275711455105,9.57999999999999,0.8415655902788242,76.72416468747093,0.8415655902788242,193,0.40915305861676154,0.0039097081834358945,0,3,405.2909228215493,67,1011.1585533500545,-1.5388150906608544,-14.319016701067401,1.0353302155549182,0.007402090260775018,-0.035330218022281944
adair,2019,176.5,149.5,171.66666666666666,14.822213060133748,-4.089999999999982,0.7885554529174145,64.90179698560894,0.7885554529174145,193,0.35614292125535185,0.0038521513761386396,0,0,470.588890913583,74,774.6307119008495,-2.6801741162355235,98.80542123306269,0.7900387707170807,0.0,0.20996122715792218
adair,2020,168.7,176.5,167.06666666666663,14.824641648282746,-4.079999999999986,0.8180725126270297,69.26393819716085,0.8180725126270297,193,0.3856599809649671,0.003748516316561073,0,0,394.84417146158125,69,842.8777731434025,-2.404911563572025,1.209384912590533,0.9969370551803999,0.0,0.0030629422869555135
adair,2022,164.2,168.7,164.9,14.853551763803816,-4.189999999999998,0.7804990155416257,65.49826121733567,0.7804990155416257,193,0.3480864838795631,0.0035959987888076026,0,3,452.49696955830484,56,867.2682369553829,-2.2368825780689683,30.617007639588,0.9323376494613614,0.0066298786405100275,0.06766234832867894
adair,2024,211.2,164.2,169.79999999999998,10.889306681327312,-0.2799999999999903,0.862954321824379,77.06030672137871,0.862954321824379,193,0.4305417901623164,0.0038397324064267,0,1,542.3242968644703,68,920.5765296036521,-1.097341327312673,92.13492324297738,0.8301110154832075,0.0018439151701993358,0.1698889826728774
adams,2013,147.6,109.8,133.6,22.198130551918112,-10.879999999999985,0.7748899900897733,73.34458430588712,0.7748899900897733,193,0.33356437873744343,0.002756550544210777,0,0,493.9127550544323,67,805.6686396291236,-3.565490207221302,119.70214113264345,0.7576451697889506,0.0,0.24235482818640042
adams,2014,169.9,147.6,136.36666666666667,21.461244139145343,-7.049999999999982,0.8581571037369695,70.61040796490266,0.8581571037369695,193,0.4168314923846396,0.0039234933357897885,0,0,387.2458416583491,72,845.2944095471887,-2.6545092500545984,-18.88836330412376,1.048776152571348,0.0,-0.04877615515368664
adams,2015,169.6,169.9,142.4333333333333,21.98983856239059,5.710000000000008,0.8065966920479393,71.92290809816022,0.8065966920479393,193,0.3652710806956094,0.003488602179183439,0,0,456.65435843613426,74,828.6988187604229,-2.2480642008244622,65.1551010790218,0.8573207487617686,0.0,0.14267924904839133
adams,2016,187.4,169.6,162.36666666666667,24.51768749291009,9.590000000000016,0.8574094477411899,78.15868979649818,0.8574094477411899,193,0.41608383638886,0.003863734372072687,0,1,360.03620114923183,59,920.6040738710108,-1.582025338322108,-65.25233269110176,1.1812382513246689,0.0027774984682943323,-0.18123825410216732
adams,2017,179.9,187.4,175.63333333333333,29.855619236585927,17.72000000000002,0.8367929012486063,82.58109360114452,0.8367929012486063,193,0.3954672898962764,0.0031213799922653563,0,2,328.9367177674061,55,916.2054605959665,-1.5706650716819759,-95.87324898029591,1.291464109995238,0.00608019684605116,-0.2914641130353364
adams,2018,171.6,179.9,178.9666666666667,14.990230151668753,8.209999999999996,0.869050438637446,79.2101793135212,0.869050438637446,193,0.4277248272851161,0.004097219194093839,0,6,350.70769323449707,68,1066.8947361780004,-1.2986616682046623,-83.36091180085157,1.2376934186824917,0.017108264513832315,-0.23769342153386905
adams,2020,173.3,171.6,179.63333333333333,7.78119528093201,1.370000000000025,0.8247951736445818,72.26086237779616,0.8247951736445818,193,0.3834695622922519,0.003590262768228549,0,0,404.04923525495303,65,870.21796416794,-2.5034077748015413,-1.191508611246995,1.0029489168753067,0.0,-0.0029489193502525496
allamakee,2013,162.1,153.6,167.56666666666666,10.057236200865528,-3.9099999999999784,0.7553625880818348,59.12948496537751,0.7553625880818348,193,0.3291680666825369,0.004038861360054085,0,0,550.4782010641405,75,664.5734513892123,-3.259180152487616,232.029810375996,0.5784940974847892,0.0,0.4215059006986082
allamakee,2014,175.6,162.1,163.0,10.744626564008644,-5.719999999999982,0.8186616736547561,56.94718617014276,0.8186616736547561,193,0.3924671522554582,0.004736241595844345,0,0,506.27670069728475,72,646.0767252850567,-2.984209095032101,181.59919522441888,0.6413044573933376,0.0,0.35869554063145787
allamakee,2015,175.4,175.6,163.76666666666668,9.85936103406302,-1.1599999999999928,0.8308954507971484,68.55405718102509,0.8308954507971484,193,0.4047009293978506,0.004140214410813879,0,0,390.6020394542709,62,661.591730272067,-2.32290843580596,62.673538308113095,0.8395463084749286,0.0,0.16045368896492107
allamakee,2016,205.1,175.4,171.03333333333333,9.78238212298008,2.6199999999999983,0.8660267942624095,69.4873028602017,0.8660267942624095,193,0.4398322728631116,0.004896221935964722,0,0,260.5166440189509,63,760.771917557792,-1.736593565159037,-88.6266913208066,1.3401958838920238,0.0,-0.34019588773055015
allamakee,2017,190.5,205.1,185.36666666666665,19.55026854035513,11.630000000000011,0.8182772645386717,71.50643689984967,0.8182772645386717,193,0.3920827431393738,0.0041094967730864445,0,0,412.11380733058445,76,707.4567229821712,-1.7409703063351394,64.24327583696652,0.8441127777367927,0.0,0.15588721983669285
