county,year,rolling_3yr_mean,ndvi_peak,ndvi_slope,heat_days_gt32,temp_anomaly,net_moisture_stress,wind_severe_days_58_cutoff
adair,2025,181.36666666666667,0.5167602389892684,0.004414676196580575,0,-5.921556555385719,-0.041426175341645596,0.0
adams,2025,174.93333333333337,0.5238273840736718,0.0043481407263046366,0,-5.817188279064965,-0.06919666918981694,0.0
allamakee,2025,205.36666666666667,0.5648533882224547,0.005458134642740372,0,-6.570009621744191,0.33774170335973314,0.0
appanoose,2025,163.5,0.6067975100549285,0.00523968574254464,0,-6.164679896986808,-0.0340766435446772,0.0
audubon,2025,206.56666666666663,0.47217159379847423,0.00472315566401408,0,-5.925851961717509,-0.18403231565198314,0.0
benton,2025,220.0,0.47897164843058576,0.004805039778191782,0,-6.016538091308661,0.11225292767775996,0.0
black hawk,2025,200.63333333333335,0.4663198353046996,0.004448377506691651,0,-6.087701913204082,0.11013722685048612,0.0
boone,2025,215.5,0.5138215367023157,0.005508229932752749,0,-5.983284204676284,-0.08978887158414525,0.0
bremer,2025,205.53333333333333,0.47909347725499074,0.004706959369165925,0,-6.139160892096324,0.148085003225322,0.0
buchanan,2025,207.06666666666663,0.48205706584810015,0.004808701654087437,0,-6.159842183113437,0.060295411634406826,0.0
buena vista,2025,204.26666666666668,0.4395703982173596,0.004450144507110485,0,-5.990650013448606,-0.2829615699986165,1.0
butler,2025,201.76666666666668,0.4790092546632033,0.004922029032992182,0,-6.0346217925219765,0.1581462690313481,0.0
calhoun,2025,210.9,0.4693843757998579,0.005014553106289332,0,-5.9254149445257855,-0.30419043505643856,0.0
carroll,2025,211.1,0.48498569483826837,0.005091096847604415,0,-5.942273887433485,-0.31866440875973856,0.0
cass,2025,202.86666666666665,0.4822775721505107,0.004204676465002016,0,-5.865935481275416,-0.03178773503033071,0.0
cedar,2025,221.1,0.4825169759266827,0.004789029635596568,0,-6.1055518669280335,0.047459352290280386,0.0
cerro gordo,2025,205.53333333333333,0.44787563848448364,0.004155405578374097,0,-6.050708029310153,0.19279443195407908,0.0
cherokee,2025,205.83333333333334,0.45414002547625254,0.004458691469284514,0,-5.987912662138086,-0.121084931151357,0.0
chickasaw,2025,206.66666666666666,0.4664321721611356,0.00450183955730854,0,-6.196646912164379,0.19784032975502847,0.0
clarke,2025,166.96666666666667,0.5994144958326675,0.004927241247115075,0,-5.99922404899219,-0.20920262688938274,0.0
clay,2025,190.46666666666667,0.4527534874931869,0.004601121204863424,0,-6.075223334951479,-0.08788975501925333,0.0
clayton,2025,212.23333333333335,0.5163772783607923,0.0050030786880687,0,-6.452931948143316,0.18713883156544908,0.0
clinton,2025,219.70000000000002,0.4994027859900381,0.004870117961012466,0,-6.275876980801501,-0.07343215803576758,0.0
crawford,2025,206.16666666666666,0.456388811889751,0.004581338641473581,0,-5.968217216231398,-0.313230665502191,0.0
dallas,2025,202.66666666666666,0.5112858228016904,0.005286692789592097,0,-5.980602021548188,-0.04898587674348347,0.0
davis,2025,176.53333333333333,0.6054234329058288,0.005079859816505606,0,-6.1707301047187535,-0.044033769406382185,0.0
decatur,2025,175.4,0.609022299180837,0.005184838238019224,0,-5.967361919047031,-0.2820401389205285,0.0
delaware,2025,216.4,0.5191200399222272,0.005345594181111078,0,-6.277439459076138,-0.04638101954293219,0.0
des moines,2025,208.16666666666666,0.5418501961885915,0.005515214275238268,0,-6.105685087641774,-0.058333778962970664,1.0
dickinson,2025,188.5,0.448280339305338,0.0043857317660294685,0,-6.175683601976576,0.06456866394448951,1.0
dubuque,2025,214.96666666666667,0.5404242653272827,0.004939859969329937,0,-6.3717568359755035,-0.06051031766008734,0.0
emmet,2025,194.0666666666667,0.45637537026803626,0.004743424613152559,0,-6.105075406027906,0.020451095698146876,0.0
fayette,2025,205.63333333333333,0.479536086831075,0.004633232936298701,0,-6.313949645039122,0.13328976412578183,0.0
floyd,2025,202.16666666666666,0.4570989754862396,0.004408734073970676,0,-6.073144935113875,0.1805809787019738,0.0
franklin,2025,211.83333333333334,0.465489441488844,0.004746521901498847,0,-6.005282790056301,0.12414258937650163,0.0
fremont,2025,211.20000000000002,0.5109476315806154,0.0055878004120368625,0,-5.650064187328198,-0.22281071853862464,0.0
greene,2025,209.46666666666667,0.48906679364723127,0.005193181414743602,0,-5.9307456330414965,-0.15724261620513666,0.0
grundy,2025,209.93333333333337,0.4503443397338953,0.004317944975920422,0,-6.00670463952444,0.1491342566223426,0.0
guthrie,2025,188.29999999999998,0.5098506704771998,0.004814227109248412,0,-5.957882029345086,-0.11458994306273038,0.0
hamilton,2025,212.13333333333333,0.4832056836102401,0.005102470464518402,0,-5.970751327670236,-0.08490532269316334,0.0
hancock,2025,206.5,0.42929096527711713,0.004053652978046438,0,-6.0059887829184735,0.06727701034037874,0.0
hardin,2025,207.36666666666667,0.47871993242037625,0.005000745784918987,0,-6.012439339943324,0.022194818333583215,0.0
harrison,2025,180.96666666666667,0.4713481990097956,0.004763684801336393,0,-5.892045146793052,-0.3120605354413662,0.0
henry,2025,192.16666666666666,0.5379977641254944,0.005204220642392641,0,-5.995725067618757,0.0392513965440648,0.0
howard,2025,204.53333333333333,0.44562260861416086,0.004176863425564065,0,-6.326764226318128,0.21740477174088937,0.0
humboldt,2025,202.33333333333334,0.45587442292569663,0.004636306004651466,0,-5.9398013447508955,-0.15484572674885297,0.0
ida,2025,213.56666666666663,0.44608602178019435,0.004451801243376497,0,-5.996640788656466,-0.31954453016081835,0.0
iowa,2025,212.86666666666667,0.5086327007456042,0.004941544913936553,0,-6.003979833459139,0.06699490699027207,0.0
jackson,2025,212.1,0.5583229906857653,0.004937126645426044,0,-6.350464266976433,-0.19477333907833744,0.0
jasper,2025,214.4333333333333,0.5396457254386583,0.005637294185028499,0,-6.0474142776648065,-0.08430232011677301,0.0
jefferson,2025,192.26666666666665,0.5531044430140959,0.005253561211905044,0,-6.008928797632818,-0.03939101196665737,0.0
johnson,2025,210.46666666666667,0.5141283156948873,0.004733599444309892,0,-6.047147788405221,0.030084294201986182,0.0
jones,2025,214.0666666666667,0.5039841821783123,0.004944774596377885,0,-6.175661221510154,-0.07052526790120414,0.0
keokuk,2025,186.16666666666666,0.539259922576638,0.005417362713549207,0,-5.978459434000191,-0.021419845516833146,0.0
kossuth,2025,192.73333333333332,0.46637992917447624,0.004932491055250708,0,-6.004265141684209,-0.012965884185375079,0.0
lee,2025,201.73333333333335,0.5684481102986477,0.005312382457199381,0,-6.1646446496731055,-0.16798842738055295,0.0
linn,2025,208.20000000000002,0.5000079402542085,0.0047734006139507484,0,-6.0943824236023705,0.01023184641729709,1.0
louisa,2025,200.1,0.5325753345002477,0.005216704744009306,0,-6.04790811516091,0.01581380063129643,0.0
lucas,2025,159.83333333333334,0.5919075957850499,0.005237530101228401,0,-6.092371034136411,-0.07562001792428388,0.0
lyon,2025,196.6,0.4724345950856802,0.00441480171578802,0,-6.155757286769559,-0.15766273287599053,0.0
madison,2025,188.16666666666666,0.546488332876044,0.00495672100439318,0,-5.981018954378124,-0.09382909544693842,0.0
mahaska,2025,208.03333333333333,0.5600752955521182,0.005751762742452317,0,-6.036858467377208,-0.03587343872412805,0.0
marion,2025,199.0,0.5741653303722101,0.005394261025393356,0,-6.057806783756012,-0.0839722197984613,0.0
marshall,2025,217.53333333333333,0.4947894488205208,0.005112754272231662,0,-6.0431146120413235,-0.08629231673920475,0.0
mills,2025,202.1,0.4979906459291694,0.0049626965486052835,0,-5.77478332232617,-0.16922119594907029,0.0
mitchell,2025,200.83333333333334,0.44732456241539315,0.004217092054872419,0,-6.148704710357851,0.23148862840966924,0.0
monona,2025,175.33333333333334,0.45001542501147995,0.0045581485391905764,0,-5.913550101069314,-0.2937418731309433,0.0
monroe,2025,172.73333333333335,0.6244705544760635,0.0055736202517316065,0,-6.10855896124775,-0.06754926751323126,0.0
montgomery,2025,203.26666666666665,0.49663481199227594,0.004359871250485606,0,-5.768245846626945,-0.03973367263128326,0.0
muscatine,2025,215.13333333333333,0.5126296795138037,0.0048403356029262535,0,-6.154655472564562,0.014223004433809137,0.0
osceola,2025,203.06666666666663,0.45625868978891243,0.004561037730193333,0,-6.136957958095131,0.11296949888218259,1.0
page,2025,196.73333333333335,0.5187482131807227,0.004497218188198612,0,-5.7060818511553535,-0.08782002590839816,1.0
palo alto,2025,196.6,0.4687007493594722,0.004879020402660196,0,-6.021761416698011,-0.1239929012895952,0.0
plymouth,2025,191.03333333333333,0.4496475713186239,0.004495488488476986,0,-6.022784641069384,0.09162898655163204,0.0
pocahontas,2025,206.4333333333333,0.46507773241103734,0.005097174305776687,0,-5.947225650462009,-0.23668563471559964,0.0
polk,2025,204.33333333333334,0.5444155349802516,0.005453870464354253,0,-6.0314330433952215,-0.08543276202430322,0.0
pottawattamie,2025,203.26666666666665,0.47544394119312827,0.004558347696307162,0,-5.8433160768679056,-0.17683889632308916,1.0
poweshiek,2025,207.0666666666667,0.53088985259698,0.005389122834478662,0,-6.032232720300366,-0.023777418908299597,0.0
ringgold,2025,162.23333333333335,0.602758963128805,0.004998134693748185,0,-5.8476490216358314,-0.2553105871394262,1.0
