feature,mean_abs_shap
rolling_3yr_mean,7.135826042707408
temp_anomaly,6.887354371605219
county,4.763919651523602
ndvi_peak,2.716397129686301
net_moisture_stress,2.612647056961387
ndvi_slope,1.9649293969836348
heat_days_gt32,0.0
