model,mae_mean,rmse_mean,mape_mean,r2_mean
Lag-1 Baseline,17.69653808098358,22.25030772795262,9.327829016210446,-1.374557099413025
LightGBM-lag,15.200970463774825,18.603695371546316,8.043054151251791,-0.6536318601125168
Ridge,14.28823359207176,17.431528059495232,,
LightGBM-No-Lag,12.97217507329196,16.076700709373075,6.846650676181142,-0.09610254168395184
LightGBM-nolag1_withcountyascategory,13.109124778769182,16.120587633723275,6.8990209480291576,-0.10464580463029481
LightGBM-limited_withcountyascategory,13.949084275308008,17.14618565000529,7.389357552818305,-0.19841548246070023
