model,mae_mean,rmse_mean,mape_mean,r2_mean
Lag-1 Baseline,17.69653808098358,22.25030772795262,9.327829016210446,-1.374557099413025
LightGBM-lag,15.070279854974133,18.323201628918746,7.934429480419788,-0.6458438490439415
Ridge,14.13874374356186,17.222266063975862,,
LightGBM-No-Lag,13.019386279408128,15.80291894526926,6.819962734109023,-0.07035471960861556
LightGBM-nolag1_withcountyascategory,13.171887090164962,15.96921079007335,6.879275653215815,-0.09950220950952743
LightGBM-limited_withcountyascategory,12.649082802492545,15.628442896759566,6.6488419692741125,0.0018854269014009822
