,2023,2024,ratio_b_to_a
temp_anomaly,7.668941141266852,12.189288702586092,1.5894356832386005
county,5.415410638301144,6.425517520881892,1.1865245223393857
rolling_3yr_mean,3.33338527424995,3.820354713629119,1.146088555421708
net_moisture_stress,2.5351244571020968,2.5284300078453295,0.9973593212601405
ndvi_peak,1.9660234961158625,3.3835266769218517,1.721000122127967
ndvi_slope,1.292823492545451,1.6007711831062408,1.238197783639025
wind_severe_days_58_cutoff,0.2925203665085806,0.48896372662167586,1.6715544714297113
heat_days_gt32,0.0,0.0,0.0
