OBJECTID,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,county
1491180,124804,748777,IOWA,19,2018,April,Thunderstorm Wind,C,73,GREENE,DMX,13-04-2018 16:45,CST-6,13-04-2018 16:45,0,0,0,0,15.00K,,Amateur Radio,52,EG,,,,,,,,,,1,S,SCRANTON,1,S,SCRANTON,42.02,-94.55,42.02,-94.55,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",Amateur radio operator reported wind driven hail caused broken windows.  Hail size unknown at the time.,CSV,greene
1491181,124804,748788,IOWA,19,2018,April,Thunderstorm Wind,C,169,STORY,DMX,13-04-2018 18:40,CST-6,13-04-2018 18:40,0,0,0,0,5.00K,,Emergency Manager,56,EG,,,,,,,,,,2,ENE,STORY CITY,2,ENE,STORY CITY,42.19,-93.57,42.19,-93.57,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",Emergency manager reported roof damage.,CSV,story
1491182,124804,748793,IOWA,19,2018,April,Thunderstorm Wind,C,29,CASS,DMX,13-04-2018 15:30,CST-6,13-04-2018 15:30,0,0,0,0,0.00K,,AWOS,53,MG,,,,,,,,,,1,N,ATLANTIC ARPT,1,N,ATLANTIC ARPT,41.41,-95.05,41.41,-95.05,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",AWOS in Atlantic recorded a 61 mph wind gust.,CSV,cass
1491183,124804,748795,IOWA,19,2018,April,Thunderstorm Wind,C,49,DALLAS,DMX,13-04-2018 17:45,CST-6,13-04-2018 17:45,0,0,0,0,0.00K,,AWOS,53,MG,,,,,,,,,,1,E,PERRY MUNI ARPT,1,E,PERRY MUNI ARPT,41.83,-94.16,41.83,-94.16,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",AWOS in Perry recorded a 61 mph wind gust.,CSV,dallas
1491184,124804,748796,IOWA,19,2018,April,Thunderstorm Wind,C,187,WEBSTER,DMX,13-04-2018 18:05,CST-6,13-04-2018 18:05,0,0,0,0,0.00K,,AWOS,50,MG,,,,,,,,,,1,W,(FOD)FT DODGE MUNI A,1,W,(FOD)FT DODGE MUNI A,42.55,-94.19,42.55,-94.19,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",AWOS in Fort Dodge recorded a 58 mph wind gust.,CSV,webster
1491185,124804,748801,IOWA,19,2018,April,Thunderstorm Wind,C,73,GREENE,DMX,13-04-2018 17:00,CST-6,13-04-2018 17:00,0,0,0,0,100.00K,,Trained Spotter,61,EG,,,,,,,,,,0,N,JEFFERSON,0,N,JEFFERSON,42.02,-94.38,42.02,-94.38,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.","Trained spotter reported large campers flipped, power lines snapped, multiple buildings damaged.",CSV,greene
1491186,124804,748806,IOWA,19,2018,April,High Wind,Z,4,EMMET,DMX,13-04-2018 18:45,CST-6,13-04-2018 18:45,0,0,0,0,0.00K,,ASOS,51,MG,,,,,,,,,,,,,,,,,,,,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",Estherville ASOS measured a 59 mph wind gust.,CSV,emmet
1491187,124804,748810,IOWA,19,2018,April,High Wind,Z,25,WRIGHT,DMX,13-04-2018 21:15,CST-6,13-04-2018 21:15,0,0,0,0,0.00K,,AWOS,51,MG,,,,,,,,,,,,,,,,,,,,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",Clarion AWOS recorded a 59 mph wind gust.,CSV,wright
1491188,124804,748812,IOWA,19,2018,April,High Wind,Z,47,BOONE,DMX,13-04-2018 21:35,CST-6,13-04-2018 21:35,0,0,0,0,0.00K,,AWOS,50,MG,,,,,,,,,,,,,,,,,,,,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",Boone AWOS recorded a 58 mph wind gust.,CSV,boone
1491189,124804,748813,IOWA,19,2018,April,High Wind,Z,25,WRIGHT,DMX,13-04-2018 21:35,CST-6,13-04-2018 21:35,0,0,0,0,0.00K,,AWOS,57,MG,,,,,,,,,,,,,,,,,,,,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",Clarion AWOS recorded a 66 mph wind gust.,CSV,wright
