OBJECTID,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,county
1429728,115436,693134,IOWA,19,2017,May,Thunderstorm Wind,C,81,HANCOCK,DMX,15-05-2017 15:51,CST-6,15-05-2017 15:51,0,0,0,0,0.00K,,Trained Spotter,52,EG,,,,,,,,,,4,ENE,DENHART,4,ENE,DENHART,42.99,-93.81,42.99,-93.81,"During the day on the 15th, much of Iowa found itself firmly in the warm sector with a warm front/stationary front eventually settling across northern Iowa.  Temperatures reached the upper 80s along with dew points in the mid to upper 60s, helping fuel MUCAPE values in excess of 2000 J/kg.  Effective bulk shear was generally marginally supportive to supportive in the 25-45 kt range.  Isolated storms initiated during the afternoon, eventually leading way to strong more widespread storms in the evening hours that resulted in primarily severe hail.  In addition to the severe hail, a handful of thunderstorm damage, severe wind gusts, and even localized flash flooding were reported.",Trained spotter reported 60 mph wind gusts along with penny sized hail and small tree branches down.  This is a delayed report and time estimated by radar.,CSV,hancock
1429772,116168,698296,IOWA,19,2017,May,Thunderstorm Wind,C,13,BLACK HAWK,DMX,17-05-2017 16:38,CST-6,17-05-2017 16:38,0,0,0,0,0.00K,,Department of Highways,56,EG,,,,,,,,,,0,SSW,EAGLE CENTER,0,SSW,EAGLE CENTER,42.3259,-92.5327,42.3259,-92.5327,"After a cold front stalled out across northwest Iowa the previous night, much of Iowa was firmly within the warm sector of an approaching surface low. As a result, winds were strong out of the south, helping keep dew points in the mid to upper 60s. While temperatures were only in the 70s, with the relatively high dew points SBCAPE values were able to eclipse 2000 J/kg in an uncapped environment.  Storms began to initiate in the early afternoon, primarily producing funnel clouds and hail.  As a weak boundary ahead of the parent cold front moved through, storms organized linearly and became primary wind gust and damaging wind producers as they traveled north/northeast.",Iowa DOT reported tree across IA-175 blocking road east of Reinbeck between T69 and D46.  Time estimated by radar and is a delayed report.,CSV,black hawk
1429777,116168,698309,IOWA,19,2017,May,Thunderstorm Wind,C,81,HANCOCK,DMX,17-05-2017 17:00,CST-6,17-05-2017 17:00,0,0,0,0,20.00K,,Social Media,56,EG,,,,,,,,,,1,E,GARNER,1,E,GARNER,43.1,-93.61,43.1,-93.61,"After a cold front stalled out across northwest Iowa the previous night, much of Iowa was firmly within the warm sector of an approaching surface low. As a result, winds were strong out of the south, helping keep dew points in the mid to upper 60s. While temperatures were only in the 70s, with the relatively high dew points SBCAPE values were able to eclipse 2000 J/kg in an uncapped environment.  Storms began to initiate in the early afternoon, primarily producing funnel clouds and hail.  As a weak boundary ahead of the parent cold front moved through, storms organized linearly and became primary wind gust and damaging wind producers as they traveled north/northeast.",Public reported a large tree fell on a house and damage was done to a fence in town.  Tree was 1 to 2 feet in diameter.  Reported via social media and is a delayed report.,CSV,hancock
1429778,116168,698313,IOWA,19,2017,May,Thunderstorm Wind,C,13,BLACK HAWK,DMX,17-05-2017 17:18,CST-6,17-05-2017 17:18,0,0,0,0,10.00K,,Emergency Manager,56,EG,,,,,,,,,,1,ENE,(ALO)WATERLOO MUNI A,1,ENE,(ALO)WATERLOO MUNI A,42.561,-92.3775,42.561,-92.3775,"After a cold front stalled out across northwest Iowa the previous night, much of Iowa was firmly within the warm sector of an approaching surface low. As a result, winds were strong out of the south, helping keep dew points in the mid to upper 60s. While temperatures were only in the 70s, with the relatively high dew points SBCAPE values were able to eclipse 2000 J/kg in an uncapped environment.  Storms began to initiate in the early afternoon, primarily producing funnel clouds and hail.  As a weak boundary ahead of the parent cold front moved through, storms organized linearly and became primary wind gust and damaging wind producers as they traveled north/northeast.",Emergency manager estimated 6 inch diameter tree limb down pinning people in a car.  Numerous locations in North Waterloo with smaller limbs down on streets and cars.,CSV,black hawk
1429971,115701,695265,IOWA,19,2017,May,Thunderstorm Wind,C,161,SAC,DMX,16-05-2017 19:09,CST-6,16-05-2017 19:09,0,0,0,0,2.00K,,Trained Spotter,61,EG,,,,,,,,,,1,SE,ODEBOLT,1,SE,ODEBOLT,42.31,-95.25,42.31,-95.25,"Ahead of a cold frontal boundary temperatures throughout Iowa were able to reach into the upper 80s to around 90 along with dew points into the mid 60s.  Along with accompanying vertical temperature profiles, MUCAPE values were able to reach into the 3000+ J/kg neighborhood in many spots with low end supportive effective shear around 30-35 kts initially.  As storms triggered in eastern and southeastern Nebraska, they quickly merged into a series of MCSs and tracked northeast into Iowa.  The strongest storms predominantly were located northwest of the Des Moines metro roughly along a line from Omaha to Mason City. Numerous severe wind gusts in excess of 60 mph were reported along with wind damage and occasional severe hail.",Trained spotter reported at least 3 large trees down in their neighbor's yard.  Time estimated by radar and previous reports.,CSV,sac
1429987,116168,698311,IOWA,19,2017,May,Thunderstorm Wind,C,23,BUTLER,DMX,17-05-2017 16:45,CST-6,17-05-2017 16:45,0,0,0,0,0.00K,,Trained Spotter,52,EG,,,,,,,,,,1,N,APLINGTON,1,N,APLINGTON,42.59,-92.88,42.59,-92.88,"After a cold front stalled out across northwest Iowa the previous night, much of Iowa was firmly within the warm sector of an approaching surface low. As a result, winds were strong out of the south, helping keep dew points in the mid to upper 60s. While temperatures were only in the 70s, with the relatively high dew points SBCAPE values were able to eclipse 2000 J/kg in an uncapped environment.  Storms began to initiate in the early afternoon, primarily producing funnel clouds and hail.  As a weak boundary ahead of the parent cold front moved through, storms organized linearly and became primary wind gust and damaging wind producers as they traveled north/northeast.",Trained spotter reported 4 inch diameter tree limbs down along with numerous other smaller branches in Aplington.,CSV,butler
1429989,115701,695267,IOWA,19,2017,May,Thunderstorm Wind,C,27,CARROLL,DMX,16-05-2017 19:15,CST-6,16-05-2017 19:15,0,0,0,0,0.00K,,AWOS,62,EG,,,,,,,,,,1,W,CARROLL NEU ARPT,1,W,CARROLL NEU ARPT,42.05,-94.79,42.05,-94.79,"Ahead of a cold frontal boundary temperatures throughout Iowa were able to reach into the upper 80s to around 90 along with dew points into the mid 60s.  Along with accompanying vertical temperature profiles, MUCAPE values were able to reach into the 3000+ J/kg neighborhood in many spots with low end supportive effective shear around 30-35 kts initially.  As storms triggered in eastern and southeastern Nebraska, they quickly merged into a series of MCSs and tracked northeast into Iowa.  The strongest storms predominantly were located northwest of the Des Moines metro roughly along a line from Omaha to Mason City. Numerous severe wind gusts in excess of 60 mph were reported along with wind damage and occasional severe hail.",Carroll AWOS reported sustained winds of 48 mph and gusts to 71 mph.,CSV,carroll
1429990,116168,698209,IOWA,19,2017,May,Thunderstorm Wind,C,121,MADISON,DMX,17-05-2017 15:02,CST-6,17-05-2017 15:02,0,0,0,0,0.00K,,Trained Spotter,52,EG,,,,,,,,,,6,NNW,BEVINGTON,6,NNW,BEVINGTON,41.45,-93.84,41.45,-93.84,"After a cold front stalled out across northwest Iowa the previous night, much of Iowa was firmly within the warm sector of an approaching surface low. As a result, winds were strong out of the south, helping keep dew points in the mid to upper 60s. While temperatures were only in the 70s, with the relatively high dew points SBCAPE values were able to eclipse 2000 J/kg in an uncapped environment.  Storms began to initiate in the early afternoon, primarily producing funnel clouds and hail.  As a weak boundary ahead of the parent cold front moved through, storms organized linearly and became primary wind gust and damaging wind producers as they traveled north/northeast.",Trained spotter reported winds estimated 50 to 60 mph.,CSV,madison
1429991,116168,698262,IOWA,19,2017,May,Thunderstorm Wind,C,125,MARION,DMX,17-05-2017 15:36,CST-6,17-05-2017 15:36,0,0,0,0,0.00K,,Emergency Manager,52,MG,,,,,,,,,,2,SSE,PLEASANTVILLE,2,SSE,PLEASANTVILLE,41.3545,-93.2619,41.3545,-93.2619,"After a cold front stalled out across northwest Iowa the previous night, much of Iowa was firmly within the warm sector of an approaching surface low. As a result, winds were strong out of the south, helping keep dew points in the mid to upper 60s. While temperatures were only in the 70s, with the relatively high dew points SBCAPE values were able to eclipse 2000 J/kg in an uncapped environment.  Storms began to initiate in the early afternoon, primarily producing funnel clouds and hail.  As a weak boundary ahead of the parent cold front moved through, storms organized linearly and became primary wind gust and damaging wind producers as they traveled north/northeast.",Emergency manager reported 60 mph wind gusts at Highway 5 and Highway 92.,CSV,marion
1430150,115436,693145,IOWA,19,2017,May,Thunderstorm Wind,C,69,FRANKLIN,DMX,15-05-2017 16:49,CST-6,15-05-2017 16:49,0,0,0,0,10.00K,,Trained Spotter,56,EG,,,,,,,,,,1,SW,SHEFFIELD,1,SW,SHEFFIELD,42.89,-93.21,42.89,-93.21,"During the day on the 15th, much of Iowa found itself firmly in the warm sector with a warm front/stationary front eventually settling across northern Iowa.  Temperatures reached the upper 80s along with dew points in the mid to upper 60s, helping fuel MUCAPE values in excess of 2000 J/kg.  Effective bulk shear was generally marginally supportive to supportive in the 25-45 kt range.  Isolated storms initiated during the afternoon, eventually leading way to strong more widespread storms in the evening hours that resulted in primarily severe hail.  In addition to the severe hail, a handful of thunderstorm damage, severe wind gusts, and even localized flash flooding were reported.",Trained spotter reported a number of large tree limbs down and at least one power line down.  Most of the damage seemed to be confined to the west side of town.  Time estimated by radar.,CSV,franklin
