OBJECTID,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,county
1666786,162751,982659,IOWA,19,2021,August,Thunderstorm Wind,C,129,MILLS,OAX,25-08-2021 00:45,CST-6,25-08-2021 00:45,0,0,0,0,,,Public,52,EG,,,,,,,,,,3,N,SILVER CITY,3,N,SILVER CITY,41.16,-95.64,41.16,-95.64,A cold front helped initiate severe weather across southwest Iowa leading to wind damage.,Public reported large tree limbs blown down.,CSV,mills
1676713,162953,983971,IOWA,19,2021,September,Thunderstorm Wind,C,67,FLOYD,ARX,20-09-2021 15:31,CST-6,20-09-2021 15:31,0,0,0,0,1.00K,,Fire Department/Rescue,56,EG,,,,,,,,,,1,SW,WALLER,1,SW,WALLER,43.07,-92.67,43.07,-92.67,"A line of thunderstorms moved across northeast Iowa during the afternoon of September 20th as a cold front pushed through the region. Some of these storms produced strong, damaging winds. Wind gusts were estimated to be around 65 mph in Charles City (Floyd County) where some tree branches were blown down. Trees were also blown down in Bassett (Chickasaw County) and a 60 mph gust occurred near Guttenberg (Clayton County).","Wind gusts estimated to be 60 to 65 mph occurred in Charles City. Some tree branches, up to 6 inches in diameter, were blown down.",CSV,floyd
1676714,162953,983972,IOWA,19,2021,September,Thunderstorm Wind,C,37,CHICKASAW,ARX,20-09-2021 15:41,CST-6,20-09-2021 15:41,0,0,0,0,2.00K,,Law Enforcement,50,EG,,,,,,,,,,1,SE,BASSETT,1,SE,BASSETT,43.06,-92.52,43.06,-92.52,"A line of thunderstorms moved across northeast Iowa during the afternoon of September 20th as a cold front pushed through the region. Some of these storms produced strong, damaging winds. Wind gusts were estimated to be around 65 mph in Charles City (Floyd County) where some tree branches were blown down. Trees were also blown down in Bassett (Chickasaw County) and a 60 mph gust occurred near Guttenberg (Clayton County).",Trees were blown down in Bassett.,CSV,chickasaw
1676715,162953,983973,IOWA,19,2021,September,Thunderstorm Wind,C,43,CLAYTON,ARX,20-09-2021 17:47,CST-6,20-09-2021 17:47,0,0,0,0,0.00K,,Public,52,MG,,,,,,,,,,1,NW,GUTTENBERG ARPT,1,NW,GUTTENBERG ARPT,42.83,-91.11,42.83,-91.11,"A line of thunderstorms moved across northeast Iowa during the afternoon of September 20th as a cold front pushed through the region. Some of these storms produced strong, damaging winds. Wind gusts were estimated to be around 65 mph in Charles City (Floyd County) where some tree branches were blown down. Trees were also blown down in Bassett (Chickasaw County) and a 60 mph gust occurred near Guttenberg (Clayton County).",A 60 mph wind gust was measured by a private weather station north of Guttenberg.,CSV,clayton
1676896,160517,970045,IOWA,19,2021,June,Thunderstorm Wind,C,71,FREMONT,OAX,24-06-2021 19:12,CST-6,24-06-2021 19:12,0,0,0,0,,,Public,56,EG,,,,,,,,,,1,W,FARRAGUT,1,W,FARRAGUT,40.72,-95.48,40.72,-95.48,Copy text from the NE one.,Public reported numerous large tree branches blown down throughout town.,CSV,fremont
1677191,158335,957180,IOWA,19,2021,June,Thunderstorm Wind,C,57,DES MOINES,DVN,11-06-2021 13:32,CST-6,11-06-2021 13:33,0,0,0,0,0.00K,,Trained Spotter,61,EG,,,,,,,,,,2,W,WEST BURLINGTON,2,W,WEST BURLINGTON,40.82,-91.18,40.82,-91.18,"Temperatures in the 90s and high moisture in the low levels led to diurnally driven thunderstorms on Friday, June 11th. Weak upper level support kept these storms relatively isolated and short-lived. Another focus area for convection was along a remnant outflow boundary from an MCS that morning, which led to some further storm development later in the day. One storm reached severe limits, which was seen in Burlington, Iowa. This storm resulted in strong downburst winds over 70 mph, that lead to multiple damaged trees and some buildings damaged.",The roof of a church was damaged.,CSV,des moines
1677469,158335,957181,IOWA,19,2021,June,Thunderstorm Wind,C,57,DES MOINES,DVN,11-06-2021 13:32,CST-6,11-06-2021 13:32,0,0,0,0,0.00K,,Public,52,EG,,,,,,,,,,2,WSW,WEST BURLINGTON,2,WSW,WEST BURLINGTON,40.81,-91.18,40.81,-91.18,"Temperatures in the 90s and high moisture in the low levels led to diurnally driven thunderstorms on Friday, June 11th. Weak upper level support kept these storms relatively isolated and short-lived. Another focus area for convection was along a remnant outflow boundary from an MCS that morning, which led to some further storm development later in the day. One storm reached severe limits, which was seen in Burlington, Iowa. This storm resulted in strong downburst winds over 70 mph, that lead to multiple damaged trees and some buildings damaged.",A wooden fence was partially damaged at Menards in West Burlington.,CSV,des moines
1677470,158335,957182,IOWA,19,2021,June,Thunderstorm Wind,C,57,DES MOINES,DVN,11-06-2021 13:33,CST-6,11-06-2021 13:33,0,0,0,0,0.00K,,Trained Spotter,61,EG,,,,,,,,,,1,SSE,LENOX PARK,1,SSE,LENOX PARK,40.81,-91.12,40.81,-91.12,"Temperatures in the 90s and high moisture in the low levels led to diurnally driven thunderstorms on Friday, June 11th. Weak upper level support kept these storms relatively isolated and short-lived. Another focus area for convection was along a remnant outflow boundary from an MCS that morning, which led to some further storm development later in the day. One storm reached severe limits, which was seen in Burlington, Iowa. This storm resulted in strong downburst winds over 70 mph, that lead to multiple damaged trees and some buildings damaged.",A large garage door was blown in at a factory.,CSV,des moines
1677471,158335,957183,IOWA,19,2021,June,Thunderstorm Wind,C,57,DES MOINES,DVN,11-06-2021 13:34,CST-6,11-06-2021 13:34,0,0,0,0,0.00K,,Public,61,EG,,,,,,,,,,1,S,WEST BURLINGTON,1,S,WEST BURLINGTON,40.81,-91.15,40.81,-91.15,"Temperatures in the 90s and high moisture in the low levels led to diurnally driven thunderstorms on Friday, June 11th. Weak upper level support kept these storms relatively isolated and short-lived. Another focus area for convection was along a remnant outflow boundary from an MCS that morning, which led to some further storm development later in the day. One storm reached severe limits, which was seen in Burlington, Iowa. This storm resulted in strong downburst winds over 70 mph, that lead to multiple damaged trees and some buildings damaged.",A partial cinderblock wall collapsed at a small business on East Agency Road.,CSV,des moines
1677472,158335,957184,IOWA,19,2021,June,Thunderstorm Wind,C,57,DES MOINES,DVN,11-06-2021 13:37,CST-6,11-06-2021 13:37,0,0,0,0,0.00K,,Emergency Manager,56,EG,,,,,,,,,,1,SSE,WEST BURLINGTON,1,SSE,WEST BURLINGTON,40.8,-91.14,40.8,-91.14,"Temperatures in the 90s and high moisture in the low levels led to diurnally driven thunderstorms on Friday, June 11th. Weak upper level support kept these storms relatively isolated and short-lived. Another focus area for convection was along a remnant outflow boundary from an MCS that morning, which led to some further storm development later in the day. One storm reached severe limits, which was seen in Burlington, Iowa. This storm resulted in strong downburst winds over 70 mph, that lead to multiple damaged trees and some buildings damaged.",A large tree limb was blown down at Notre Dame High School.,CSV,des moines
