OBJECTID,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,county
1832301,180681,1103041,IOWA,19,2023,June,Thunderstorm Wind,C,111,LEE,DVN,24-06-2023 17:58,CST-6,24-06-2023 17:58,0,0,0,0,0.00K,,Public,56,EG,,,,,,,,,,1,W,HOUGHTON,1,W,HOUGHTON,40.78,-91.61,40.78,-91.61,"Scattered severe storms tracked across southeast Iowa during the mid-afternoon into early evening of June 24, producing large hail up to golf ball size in Van Buren County and tennis ball size hail near Ottumwa.||More organized clusters of severe storms tracked through Dubuque into far northwest IL during the evening and late night hours of June 24.  Another storm cluster moved through the Quad Cities, producing wind gusts to 70 mph at the Davenport ASOS and damage to trees and power poles.  An EF-0 tornado also tracked east along and north of I-80 near the Davenport Airport, causing sporadic minor tree and structure damage.  This storm impacted the Quad City Airshow grounds, while no visitors were present.","A couple trees were blown down, and there was some siding damage at home.",CSV,lee
1832302,180681,1103046,IOWA,19,2023,June,Thunderstorm Wind,C,163,SCOTT,DVN,24-06-2023 21:40,CST-6,24-06-2023 21:40,0,0,0,0,0.00K,,ASOS,61,MG,,,,,,,,,,1,SW,DAVENPORT ARPT,1,SW,DAVENPORT ARPT,41.61,-90.59,41.61,-90.59,"Scattered severe storms tracked across southeast Iowa during the mid-afternoon into early evening of June 24, producing large hail up to golf ball size in Van Buren County and tennis ball size hail near Ottumwa.||More organized clusters of severe storms tracked through Dubuque into far northwest IL during the evening and late night hours of June 24.  Another storm cluster moved through the Quad Cities, producing wind gusts to 70 mph at the Davenport ASOS and damage to trees and power poles.  An EF-0 tornado also tracked east along and north of I-80 near the Davenport Airport, causing sporadic minor tree and structure damage.  This storm impacted the Quad City Airshow grounds, while no visitors were present.",Reported by Davenport Airport ASOS.,CSV,scott
1832304,180681,1103051,IOWA,19,2023,June,Thunderstorm Wind,C,31,CEDAR,DVN,24-06-2023 21:15,CST-6,24-06-2023 21:15,0,0,0,0,0.00K,,Law Enforcement,61,EG,,,,,,,,,,0,N,DURANT,0,N,DURANT,41.6,-90.92,41.6,-90.92,"Scattered severe storms tracked across southeast Iowa during the mid-afternoon into early evening of June 24, producing large hail up to golf ball size in Van Buren County and tennis ball size hail near Ottumwa.||More organized clusters of severe storms tracked through Dubuque into far northwest IL during the evening and late night hours of June 24.  Another storm cluster moved through the Quad Cities, producing wind gusts to 70 mph at the Davenport ASOS and damage to trees and power poles.  An EF-0 tornado also tracked east along and north of I-80 near the Davenport Airport, causing sporadic minor tree and structure damage.  This storm impacted the Quad City Airshow grounds, while no visitors were present.",Trees reported down over roads.,CSV,cedar
1832445,181725,1106495,IOWA,19,2023,June,Thunderstorm Wind,C,109,KOSSUTH,DMX,24-06-2023 22:15,CST-6,24-06-2023 22:15,0,0,0,0,0.00K,,Public,50,EG,,,,,,,,,,1,W,SWEA CITY,1,W,SWEA CITY,43.38,-94.31,43.38,-94.31,"A low pressure system slowly dropping SE form the eastern Dakotas and SW Minnesota dragged a cold front across the state during the evening and overnight hours of the 24th of June. Within the warm sector, MUCAPE values peaked in excess of 3000 J/kg during peak heating and scaled back a bit overnight but remained around or in excess of 2000 J/kg. Effective shear values were supportive for organized convection, residing in the 35 to around 50 kt range. Morning and lingering convective activity likely played a role in initiating some storms with remnant outflow boundaries around. As a result, a number of isolated or clustered organized storms were seen during the evening and overnight hours and produced a number of reports of large hail and damaging winds. The largest hail reported was 3 inches in both Palo Alto and Black Hawk counties. A couple of funnel clouds were reported as well.",Large tree branch downed in Swea City. Time estimated from radar.,CSV,kossuth
1832493,183751,1123372,IOWA,19,2023,July,Thunderstorm Wind,C,193,WOODBURY,FSD,12-07-2023 04:26,CST-6,12-07-2023 04:28,0,0,0,0,,,ASOS,51,MG,,,,,,,,,,1,S,(SUX)SIOUX CITY ARPT,1,S,(SUX)SIOUX CITY ARPT,42.38,-96.38,42.38,-96.38,"An approaching upper level jet within the presence of a sharp lower- to mid-level boundary focused widespread convective development during the overnight hours. Elevated instability of 1000-1500 J/kg and deep layer shear in excess of 40 kts produced a very organized bowing system, which resulted in widespread 60 to 80 mph wind reports in southeast South Dakota, northeast Nebraska, and northwest Iowa. At the peak, several thousand people were without power.",Thunderstorm wind gusts as high as 59 mph were measured by Automated Surface Observing System site KSUX 2 miles southwest of Sergeant Bluff.,CSV,woodbury
1832715,183306,1119942,IOWA,19,2023,July,Thunderstorm Wind,C,113,LINN,DVN,28-07-2023 19:20,CST-6,28-07-2023 19:30,0,0,0,0,,,Trained Spotter,78,EG,,,,,,,,,,1,NE,MARION,1,NE,MARION,42.04,-91.59,42.04,-91.59,"Very hot and humid air in place across eastern Iowa, northwest Illinois, and far northeast Missouri interacted with a southward moving frontal boundary and disturbance aloft, setting the stage for development and organization of severe thunderstorms across the region. Storms initially formed from north central Iowa and southern Wisconsin along the frontal boundary, which slowly worked south into the hot, humid air in place across the region. As storms arrived across east central Iowa, they began producing winds around 70 MPH across the Hwy 20 corridor. Another storm to the south further intensified, and began producing winds of 80+ MPH as it tracked along the Hwy 30 corridor. This impacted the northern suburbs of Cedar Rapids into Clinton. These storms continued to produce wind gusts around 60-70 MPH as they progressed into northwest Illinois. One brief EF-0 tornado began in Clinton, Iowa, then moved across the Mississippi River before dissipating near Fulton, Illinois. Damage near Andrew, Iowa in Jackson County was determined to be straight-line winds. Storms additionally produced large hail around the Dubuque metro, with quarter size hail reported.",Trained spotter reported a 90 mph wind gust.,CSV,linn
1832716,183306,1119943,IOWA,19,2023,July,Thunderstorm Wind,C,19,BUCHANAN,DVN,28-07-2023 18:35,CST-6,28-07-2023 18:45,0,0,0,0,,,Trained Spotter,56,EG,,,,,,,,,,1,W,JESUP,1,W,JESUP,42.48,-92.07,42.48,-92.07,"Very hot and humid air in place across eastern Iowa, northwest Illinois, and far northeast Missouri interacted with a southward moving frontal boundary and disturbance aloft, setting the stage for development and organization of severe thunderstorms across the region. Storms initially formed from north central Iowa and southern Wisconsin along the frontal boundary, which slowly worked south into the hot, humid air in place across the region. As storms arrived across east central Iowa, they began producing winds around 70 MPH across the Hwy 20 corridor. Another storm to the south further intensified, and began producing winds of 80+ MPH as it tracked along the Hwy 30 corridor. This impacted the northern suburbs of Cedar Rapids into Clinton. These storms continued to produce wind gusts around 60-70 MPH as they progressed into northwest Illinois. One brief EF-0 tornado began in Clinton, Iowa, then moved across the Mississippi River before dissipating near Fulton, Illinois. Damage near Andrew, Iowa in Jackson County was determined to be straight-line winds. Storms additionally produced large hail around the Dubuque metro, with quarter size hail reported.",Several 6 inch diameter tree limbs downed.,CSV,buchanan
1832717,183306,1121005,IOWA,19,2023,July,Thunderstorm Wind,C,31,CEDAR,DVN,28-07-2023 19:37,CST-6,28-07-2023 19:45,0,0,0,0,,,Mesonet,56,MG,,,,,,,,,,3,N,BENNETT,3,N,BENNETT,41.77,-90.99,41.77,-90.99,"Very hot and humid air in place across eastern Iowa, northwest Illinois, and far northeast Missouri interacted with a southward moving frontal boundary and disturbance aloft, setting the stage for development and organization of severe thunderstorms across the region. Storms initially formed from north central Iowa and southern Wisconsin along the frontal boundary, which slowly worked south into the hot, humid air in place across the region. As storms arrived across east central Iowa, they began producing winds around 70 MPH across the Hwy 20 corridor. Another storm to the south further intensified, and began producing winds of 80+ MPH as it tracked along the Hwy 30 corridor. This impacted the northern suburbs of Cedar Rapids into Clinton. These storms continued to produce wind gusts around 60-70 MPH as they progressed into northwest Illinois. One brief EF-0 tornado began in Clinton, Iowa, then moved across the Mississippi River before dissipating near Fulton, Illinois. Damage near Andrew, Iowa in Jackson County was determined to be straight-line winds. Storms additionally produced large hail around the Dubuque metro, with quarter size hail reported.",,CSV,cedar
1832718,183306,1121006,IOWA,19,2023,July,Thunderstorm Wind,C,45,CLINTON,DVN,28-07-2023 20:00,CST-6,28-07-2023 20:10,0,0,0,0,,,NWS Employee,52,EG,,,,,,,,,,0,N,DEWITT,0,N,DEWITT,41.82,-90.55,41.82,-90.55,"Very hot and humid air in place across eastern Iowa, northwest Illinois, and far northeast Missouri interacted with a southward moving frontal boundary and disturbance aloft, setting the stage for development and organization of severe thunderstorms across the region. Storms initially formed from north central Iowa and southern Wisconsin along the frontal boundary, which slowly worked south into the hot, humid air in place across the region. As storms arrived across east central Iowa, they began producing winds around 70 MPH across the Hwy 20 corridor. Another storm to the south further intensified, and began producing winds of 80+ MPH as it tracked along the Hwy 30 corridor. This impacted the northern suburbs of Cedar Rapids into Clinton. These storms continued to produce wind gusts around 60-70 MPH as they progressed into northwest Illinois. One brief EF-0 tornado began in Clinton, Iowa, then moved across the Mississippi River before dissipating near Fulton, Illinois. Damage near Andrew, Iowa in Jackson County was determined to be straight-line winds. Storms additionally produced large hail around the Dubuque metro, with quarter size hail reported.",Estimated wind gust of 60 mph with thunderstorm.,CSV,clinton
1832745,183751,1123375,IOWA,19,2023,July,Thunderstorm Wind,C,21,BUENA VISTA,FSD,12-07-2023 05:28,CST-6,12-07-2023 05:31,0,0,0,0,,,Department of Highways,57,MG,,,,,,,,,,2,NE,TRUESDALE,2,NE,TRUESDALE,42.75,-95.15,42.75,-95.15,"An approaching upper level jet within the presence of a sharp lower- to mid-level boundary focused widespread convective development during the overnight hours. Elevated instability of 1000-1500 J/kg and deep layer shear in excess of 40 kts produced a very organized bowing system, which resulted in widespread 60 to 80 mph wind reports in southeast South Dakota, northeast Nebraska, and northwest Iowa. At the peak, several thousand people were without power.",Thunderstorm wind gusts as high as 66 mph were measured by Iowa Road Weather Information System site RSLI4 2 miles northeast of Truesdale.,CSV,buena vista
1832746,183751,1123359,IOWA,19,2023,July,Thunderstorm Wind,C,41,CLAY,FSD,12-07-2023 05:15,CST-6,12-07-2023 05:17,0,0,0,0,,,COOP Observer,61,EG,,,,,,,,,,1,E,PETERSON,1,E,PETERSON,42.92,-95.34,42.92,-95.34,"An approaching upper level jet within the presence of a sharp lower- to mid-level boundary focused widespread convective development during the overnight hours. Elevated instability of 1000-1500 J/kg and deep layer shear in excess of 40 kts produced a very organized bowing system, which resulted in widespread 60 to 80 mph wind reports in southeast South Dakota, northeast Nebraska, and northwest Iowa. At the peak, several thousand people were without power.",A few trees and large branches were downed by thunderstorm winds in Peterson.,CSV,clay
1832747,183751,1123358,IOWA,19,2023,July,Thunderstorm Wind,C,167,SIOUX,FSD,12-07-2023 03:58,CST-6,12-07-2023 04:03,0,0,0,0,,,Law Enforcement,61,EG,,,,,,,,,,2,ENE,HULL,2,ENE,HULL,43.19,-96.14,43.19,-96.14,"An approaching upper level jet within the presence of a sharp lower- to mid-level boundary focused widespread convective development during the overnight hours. Elevated instability of 1000-1500 J/kg and deep layer shear in excess of 40 kts produced a very organized bowing system, which resulted in widespread 60 to 80 mph wind reports in southeast South Dakota, northeast Nebraska, and northwest Iowa. At the peak, several thousand people were without power.",Thunderstorm winds brought down large tree branches and powerlines across Division Street between 3rd and 5th Street.,CSV,sioux
1845387,182443,1111590,IOWA,19,2023,June,Thunderstorm Wind,C,167,SIOUX,FSD,24-06-2023 03:30,CST-6,24-06-2023 03:33,0,0,0,0,,,Social Media,65,EG,,,,,,,,,,1,W,HAWARDEN,1,W,HAWARDEN,43,-96.48,43,-96.48,"Linear storms developed near a frontal boundary, moving across southeast South Dakota and into northwest Iowa and southwest Minnesota early on June 24. Within an environment of shear, a strong low-level jet, and strong DCAPE, some storms produced severe-level winds.",Thunderstorm wind gusts downed several trees and blew shingles off of a roof.,CSV,sioux
