,2023,2024,ratio_b_to_a
ndvi_peak,7.988136031167376,7.1511543064661325,0.8952218988966155
temp_anomaly,5.931778777168318,8.367633300490176,1.4106448697475995
net_moisture_stress,3.7251921384883206,4.287959432752537,1.1510706759121925
county,3.5515107735083826,3.9846900236325986,1.1219704170279898
heat_days_gt32,1.4378508650916844,0.8762216459377604,0.6093967512283607
rolling_3yr_mean,1.4374897756412843,2.7616153145285693,1.9211373613398912
ndvi_slope,1.1887218484332271,1.394656348427403,1.1732402750614908
wind_severe_days_58_cutoff,0.38930984799423884,0.27618415425563225,0.7094199021128265
