,2023,2024,ratio_b_to_a
ndvi_peak,8.399963712831685,7.209473822934415,0.8582744008669119
temp_anomaly,8.035817176684983,9.53964181591024,1.187140225587565
net_moisture_stress,5.995126803240843,3.7837246356443117,0.6311333787967434
county,3.255383045736672,3.995134682640656,1.2272395065375734
heat_days_gt32,1.4414311867402858,1.0787615952999041,0.7483961809786159
ndvi_slope,1.281891972291707,1.5167825975985885,1.183237457121254
rolling_3yr_mean,1.1430907616575938,2.679787623841935,2.3443349502326307
wind_severe_days_58_cutoff,0.35679894496559106,0.22297429414733083,0.6249298023256039
