year,county,rolling_3yr_mean,ndvi_peak,ndvi_slope,temp_anomaly,net_moisture_stress,heat_days_gt32,wind_severe_days_58_cutoff
2025,adair,181.36666666666665,0.5167602389892683,0.002435898389907754,0.0,-0.041426175341653056,0,1
2025,adams,174.9333333333333,0.5238273840736718,0.002012780039048922,0.0,-0.0691966691898221,0,0
2025,allamakee,205.36666666666667,0.5648533882224545,0.0019206270729190784,0.0,0.33774170335972303,0,0
2025,appanoose,163.5,0.6067975100549283,0.002347911070504302,0.0,-0.03407664354468795,0,0
2025,audubon,206.5666666666667,0.4721715937984741,0.0022157975254811094,0.0,-0.18403231565199132,0,0
2025,benton,220.0,0.47897164843058565,0.001789620326255513,0.0,0.11225292767775366,0,0
2025,black hawk,200.63333333333333,0.46631983530469956,0.0015250348738271515,0.0,0.11013722685047965,0,1
2025,boone,215.5,0.5138215367023156,0.002367503031569253,0.0,-0.08978887158415297,0,0
2025,bremer,205.53333333333333,0.47909347725499063,0.0014960657103438627,0.0,0.14808500322531448,0,0
2025,buchanan,207.0666666666667,0.4820570658481001,0.0016536489333467625,0.0,0.06029541163439879,0,0
2025,buena vista,204.26666666666665,0.43957039821735955,0.0012379114670783696,0.0,-0.282961569998622,0,1
2025,butler,201.76666666666665,0.4790092546632033,0.0015037230758294363,0.0,0.15814626903134182,0,0
2025,calhoun,210.9,0.4693843757998578,0.0017794670300633358,0.0,-0.3041904350564471,0,1
2025,carroll,211.1,0.48498569483826826,0.0023548415354093266,0.0,-0.31866440875974567,0,1
2025,cass,202.86666666666667,0.4822775721505106,0.0019920762049218427,0.0,-0.0317877350303381,0,1
2025,cedar,221.1,0.4825169759266826,0.0018228622922659918,0.0,0.04745935229027354,0,1
2025,cerro gordo,205.5333333333333,0.44787563848448353,0.001395461736219286,0.0,0.19279443195407148,0,0
2025,cherokee,205.83333333333334,0.45414002547625243,0.001374393484718822,0.0,-0.121084931151365,0,0
2025,chickasaw,206.66666666666666,0.4664321721611355,0.0013882842563889464,0.0,0.19784032975502167,0,0
