year,county,rolling_3yr_mean,ndvi_peak,ndvi_slope,temp_anomaly,net_moisture_stress,heat_days_gt32,wind_severe_days_58_cutoff
2025,adair,181.36666666666665,0.7439687391405563,0.0032124880122766084,0.0,0.04671475723633896,2,1
2025,adams,174.9333333333333,0.7473494470619586,0.002891100774349797,0.0,0.06096964023764082,3,0
2025,allamakee,205.36666666666667,0.7671438308669851,0.0028956094031192497,0.0,0.2099152666470993,1,0
2025,appanoose,163.5,0.8036961685553174,0.0031814533219942623,0.0,-0.1375835672507916,3,0
2025,audubon,206.5666666666667,0.7450775078794996,0.003244128515327931,0.0,-0.052664100138520235,2,0
2025,benton,220.0,0.7632378792264995,0.002977755273947444,0.0,0.036902613348736575,2,1
2025,black hawk,200.63333333333333,0.7402532805993904,0.0027097929790659615,0.0,0.07273313902422904,2,2
2025,boone,215.5,0.7897189331210946,0.0034517519991589174,0.0,0.004500914325708958,2,0
2025,bremer,205.53333333333333,0.7475737785901517,0.002701436426555447,0.0,0.142758086776222,1,0
2025,buchanan,207.0666666666667,0.7506048517835224,0.0028465045693304774,0.0,0.04259383080295245,1,0
2025,buena vista,204.26666666666665,0.7387081567835212,0.002574168412415035,0.0,-0.06178296226514513,2,1
2025,butler,201.76666666666665,0.7484006248311406,0.0027264240299587237,0.0,0.1805097493063631,2,0
2025,calhoun,210.9,0.7634871176669346,0.0030246503500164887,0.0,-0.11438474120197138,2,1
2025,carroll,211.1,0.7744179485020941,0.003442096135516182,0.0,-0.15326667030458282,2,1
2025,cass,202.86666666666667,0.7304032241693603,0.0029201921458063954,0.0,0.0786584373573164,2,1
2025,cedar,221.1,0.7681916719489036,0.0029882353824814386,0.0,-0.0466560727852365,2,1
2025,cerro gordo,205.5333333333333,0.7181781656796351,0.0025611414945189634,0.0,0.22264933930707714,2,0
2025,cherokee,205.83333333333334,0.7436847812103224,0.0026468927775275676,0.0,-0.04028292986473178,2,2
2025,chickasaw,206.66666666666666,0.730729347163333,0.002579880403821431,0.0,0.19246809505314197,1,0
2025,clarke,166.96666666666667,0.7819998911014145,0.0031998816393781055,0.0,-0.06850989651429211,3,0
2025,clay,190.46666666666667,0.7512729286003921,0.0026526659410420414,0.0,0.023295817727026383,2,2
2025,clayton,212.23333333333335,0.7557267525227037,0.002751604197685687,0.0,0.09557895866762617,1,0
2025,clinton,219.70000000000002,0.766232906453383,0.0028139534556066515,0.0,-0.10314940747171425,2,2
2025,crawford,206.16666666666666,0.7473442871734162,0.0032969127306268723,0.0,-0.19590301763207554,2,0
2025,dallas,202.66666666666666,0.7749408536080646,0.003008562712643112,0.0,0.008856587450747286,2,0
2025,davis,176.53333333333333,0.8089033384316044,0.0031683357883733124,0.0,-0.0869831204351976,3,0
2025,decatur,175.4,0.7981971669207992,0.003134323750976406,0.0,-0.1613689011556997,3,1
2025,delaware,216.4,0.7704897763767151,0.0028365524404721314,0.0,-0.05511810199193665,0,0
2025,des moines,208.16666666666666,0.7953381974324388,0.0029765479513760153,0.0,-0.012140347426898766,2,3
2025,dickinson,188.5,0.7412348754801199,0.002676495864578063,0.0,0.12121454416444168,2,0
2025,dubuque,214.96666666666667,0.7629049489443032,0.002875689022976729,0.0,-0.04112525822293257,1,1
2025,emmet,194.0666666666667,0.7564591378087173,0.0027392531604419207,0.0,0.14431305908299624,2,1
2025,fayette,205.63333333333335,0.7370222788724359,0.0026296713819349772,0.0,0.08575950211225658,1,0
2025,floyd,202.16666666666666,0.731215258186422,0.0026212617999327816,0.0,0.2139980993594935,2,0
2025,franklin,211.83333333333334,0.7371071271856223,0.0026620753095886788,0.0,0.17507693761182555,2,0
2025,fremont,211.20000000000002,0.7940182889884096,0.002943121106053497,0.0,-0.1465545660260691,4,0
2025,greene,209.46666666666667,0.7777947019399584,0.0033370794468871377,0.0,-0.04058370015261442,2,0
2025,grundy,209.9333333333333,0.7370196282122407,0.0025204070779720656,0.0,0.09474157869933286,2,1
2025,guthrie,188.29999999999998,0.7633176544035853,0.0034013843113295528,0.0,-0.02924345203188188,2,1
2025,hamilton,212.13333333333335,0.7691004571388307,0.0030527189375353938,0.0,0.02628660512243565,2,0
2025,hancock,206.5,0.7013800721783935,0.002482175586751014,0.0,0.14807047631637435,2,0
