,2023,2024,ratio_b_to_a
temp_anomaly,7.638378650283428,9.930754984462508,1.3001129479348368
ndvi_peak,6.9501123147306885,5.097337417442562,0.733417991913427
net_moisture_stress,5.059979865287447,4.52758208965893,0.8947826296146194
county,4.976400484245234,6.183972856021596,1.2426598051341347
ndvi_slope,2.0101322856207764,1.9730784796606713,0.9815664838452849
rolling_3yr_mean,1.5219219887359818,1.8974824678920736,1.2467672337581575
heat_days_gt32,0.43595800470589674,1.068438539564912,2.450783167258726
wind_severe_days_58_cutoff,0.343402374337888,0.23996539075588372,0.698787803137819
