model,rmse,r2,mae,mape
Lag-1 Baseline,23.18693713717574,-0.533430899186581,18.073005565862708,9.585440977970986
Ridge,15.378160746361631,0.3254933535538237,11.915802996253378,6.320959321233296
LightGBM-limited_withstorm,13.820776499509506,0.45519343929044165,10.741095392930527,5.6726150818595436
LightGBM-tuned_withoutstorm,13.847774919590375,0.4530628378622149,10.566547964617863,5.6065372750303295
