county,datetime,year,wind_mph
black hawk,2025-07-30 06:58:00+00:00,2025,60
woodbury,2025-07-28 06:28:00+00:00,2025,53
calhoun,2025-07-29 04:13:00+00:00,2025,62
buchanan,2025-07-29 06:41:00+00:00,2025,70
black hawk,2025-07-30 06:43:00+00:00,2025,59
scott,2025-07-11 22:26:00+00:00,2025,72
plymouth,2025-07-30 02:42:00+00:00,2025,66
linn,2025-07-11 21:13:00+00:00,2025,64
sioux,2025-07-28 05:47:00+00:00,2025,58
woodbury,2025-07-28 07:30:00+00:00,2025,70
sioux,2025-07-29 02:39:00+00:00,2025,99
kossuth,2025-07-29 04:19:00+00:00,2025,80
poweshiek,2025-07-29 07:13:00+00:00,2025,63
scott,2025-07-30 09:19:00+00:00,2025,50
story,2025-07-19 10:54:00+00:00,2025,71
clinton,2025-07-29 08:45:00+00:00,2025,58
linn,2025-07-29 07:20:00+00:00,2025,52
scott,2025-07-29 08:34:00+00:00,2025,60
dickinson,2025-07-28 03:40:00+00:00,2025,51
buchanan,2025-07-30 07:17:00+00:00,2025,57
woodbury,2025-07-28 06:50:00+00:00,2025,52
sioux,2025-07-29 02:30:00+00:00,2025,61
buchanan,2025-07-30 07:15:00+00:00,2025,53
linn,2025-07-29 07:30:00+00:00,2025,60
cedar,2025-07-29 08:09:00+00:00,2025,65
clay,2025-07-28 05:44:00+00:00,2025,55
benton,2025-07-29 07:01:00+00:00,2025,61
buchanan,2025-07-28 07:05:00+00:00,2025,42
black hawk,2025-07-29 06:19:00+00:00,2025,78
sioux,2025-07-29 02:30:00+00:00,2025,65
jackson,2025-07-30 08:39:00+00:00,2025,58
dubuque,2025-07-29 08:08:00+00:00,2025,52
jones,2025-07-30 08:02:00+00:00,2025,57
linn,2025-07-11 20:54:00+00:00,2025,55
howard,2025-07-29 05:00:00+00:00,2025,60
woodbury,2025-07-30 02:59:00+00:00,2025,58
dubuque,2025-07-11 22:04:00+00:00,2025,60
dubuque,2025-07-29 08:09:00+00:00,2025,52
benton,2025-07-11 20:38:00+00:00,2025,45
buchanan,2025-07-30 07:09:00+00:00,2025,51
pocahontas,2025-07-29 04:00:00+00:00,2025,63
cerro gordo,2025-07-28 04:17:00+00:00,2025,71
guthrie,2025-07-24 05:36:00+00:00,2025,75
woodbury,2025-07-30 03:01:00+00:00,2025,59
benton,2025-07-11 20:39:00+00:00,2025,70
shelby,2025-07-11 03:49:00+00:00,2025,68
buchanan,2025-07-30 07:15:00+00:00,2025,53
jones,2025-07-29 08:08:00+00:00,2025,71
polk,2025-07-11 06:28:00+00:00,2025,70
cedar,2025-07-30 08:27:00+00:00,2025,60
jackson,2025-07-11 22:04:00+00:00,2025,56
dubuque,2025-07-28 08:25:00+00:00,2025,53
ida,2025-07-28 06:43:00+00:00,2025,64
clay,2025-07-29 03:42:00+00:00,2025,92
linn,2025-07-11 20:56:00+00:00,2025,60
hancock,2025-07-28 04:12:00+00:00,2025,66
dubuque,2025-07-28 08:29:00+00:00,2025,59
johnson,2025-07-29 07:41:00+00:00,2025,63
black hawk,2025-07-30 06:50:00+00:00,2025,65
black hawk,2025-07-28 06:14:00+00:00,2025,59
fayette,2025-07-28 06:35:00+00:00,2025,53
dubuque,2025-07-11 21:58:00+00:00,2025,59
emmet,2025-07-28 05:30:00+00:00,2025,66
dallas,2025-07-11 05:38:00+00:00,2025,70
des moines,2025-07-29 08:45:00+00:00,2025,52
plymouth,2025-07-30 02:25:00+00:00,2025,62
jackson,2025-07-30 08:39:00+00:00,2025,58
dallas,2025-07-11 05:33:00+00:00,2025,60
woodbury,2025-07-28 06:28:00+00:00,2025,51
lyon,2025-07-29 02:34:00+00:00,2025,72
palo alto,2025-07-29 04:14:00+00:00,2025,58
linn,2025-07-29 07:40:00+00:00,2025,52
dubuque,2025-07-28 08:28:00+00:00,2025,52
greene,2025-07-30 06:27:00+00:00,2025,60
linn,2025-07-11 20:54:00+00:00,2025,70
kossuth,2025-07-29 04:28:00+00:00,2025,64
wapello,2025-07-22 23:56:00+00:00,2025,62
dallas,2025-07-11 05:39:00+00:00,2025,70
cedar,2025-07-05 21:47:00+00:00,2025,45
buchanan,2025-07-30 07:17:00+00:00,2025,57
hancock,2025-07-29 04:48:00+00:00,2025,58
sioux,2025-07-28 05:22:00+00:00,2025,59
dubuque,2025-07-28 08:27:00+00:00,2025,48
buchanan,2025-07-29 06:40:00+00:00,2025,70
polk,2025-07-11 05:46:00+00:00,2025,64
poweshiek,2025-07-10 22:03:00+00:00,2025,55
bremer,2025-07-29 06:10:00+00:00,2025,80
mills,2025-07-10 08:04:00+00:00,2025,61
bremer,2025-07-28 05:55:00+00:00,2025,64
bremer,2025-07-28 06:08:00+00:00,2025,64
plymouth,2025-07-30 02:25:00+00:00,2025,62
delaware,2025-07-28 07:28:00+00:00,2025,49
floyd,2025-07-28 05:10:00+00:00,2025,54
lyon,2025-07-28 05:34:00+00:00,2025,62
jones,2025-07-29 07:30:00+00:00,2025,74
buchanan,2025-07-29 07:00:00+00:00,2025,77
jones,2025-07-30 08:02:00+00:00,2025,57
bremer,2025-07-29 06:26:00+00:00,2025,58
scott,2025-07-11 23:31:00+00:00,2025,60
carroll,2025-07-24 05:14:00+00:00,2025,82
