model,mae_mean,rmse_mean,mape_mean,r2_mean
Lag-1 Baseline,17.69653808098358,22.25030772795262,9.327829016210446,-1.374557099413025
LightGBM-lag,12.759188616478282,15.876193851507043,6.713860936054607,-0.26487966066327906
Ridge,13.81620349792181,16.936152362816046,,
LightGBM-No-Lag,10.5485381688841,13.038902229572216,5.558949838476804,0.27712745169947056
LightGBM-nolag1_withcountyascategory,10.485794247781824,12.97025577430232,5.5174666088294835,0.2785703948195129
LightGBM-limited_withcountyascategory,9.600946106893817,11.983119337426793,5.114847279355984,0.38128098751074513
