feature,mean_abs_shap
rolling_3yr_mean,5.737822918482751
temp_anomaly,4.642007188714597
ndvi_anomaly,4.0909318353160575
county,3.6593848420413315
rain_days,2.3014731784119786
ndvi_auc,1.9067453364005225
cumulative_gdd,1.5131860851852685
rain_sum_mm,1.2441812194603459
ndvi_at_cutoff,1.0911445723588786
yield_std_5yr,1.065381172628204
yield_trend_5yr,0.9221266494191347
ndvi_slope,0.8111028317093839
water_balance_total_mm,0.6482147388776052
et_rain_ratio,0.6048212762823487
heat_rain_stress_idx,0.41451133725294725
net_moisture_stress,0.2861643078391222
ndvi_peak,0.13680787236665862
heat_days_gt32,0.08683550351713522
day_of_peak_ndvi,0.0
ndvi_drop_rate,0.0
