NDVI,county_name,date,geoid,year
0.2183935277558597,Marion,2013-01-01,17121,2013
0.36446058270919024,Bond,2013-01-01,17005,2013
0.3404195879915839,Jersey,2013-01-01,17083,2013
0.37198446231472715,St. Clair,2013-01-01,17163,2013
0.39531534974370336,Clinton,2013-01-01,17027,2013
0.3737493480592613,Calhoun,2013-01-01,17013,2013
0.3805047835983489,Madison,2013-01-01,17119,2013
0.3576814026155796,Monroe,2013-01-01,17133,2013
0.3226760865040947,Macoupin,2013-01-01,17117,2013
0.3301919734183568,Scott,2013-01-01,17171,2013
0.28606193304535626,Morgan,2013-01-01,17137,2013
0.2731505975087928,Logan,2013-01-01,17107,2013
0.2922902292027291,Menard,2013-01-01,17129,2013
0.2909620777240222,Sangamon,2013-01-01,17167,2013
0.2415204141775639,Christian,2013-01-01,17021,2013
0.4296623327697106,Massac,2013-01-01,17127,2013
0.17084140374538076,Fulton,2013-01-01,17057,2013
0.08860837036462069,Stark,2013-01-01,17175,2013
0.15888666431296528,Woodford,2013-01-01,17203,2013
0.27592205942937703,Tazewell,2013-01-01,17179,2013
0.24346145453922746,Marshall,2013-01-01,17123,2013
0.2522200289561045,Peoria,2013-01-01,17143,2013
0.02462854174906544,Adams,2013-01-01,17001,2013
0.009933601289864818,Stephenson,2013-01-01,17177,2013
0.20957935239349326,Ogle,2013-01-01,17141,2013
0.09875896691718604,Winnebago,2013-01-01,17201,2013
0.12596798647492877,Boone,2013-01-01,17007,2013
0.03930144141678592,Clay,2013-01-01,17025,2013
-0.022726704278899997,Wabash,2013-01-01,17185,2013
0.15622383888053443,Brown,2013-01-01,17009,2013
0.3990011870043489,Pope,2013-01-01,17151,2013
0.10020193767735838,Crawford,2013-01-01,17033,2013
0.31158471226678497,Montgomery,2013-01-01,17135,2013
0.17756801931541555,Franklin,2013-01-01,17055,2013
0.01759657791147632,Clark,2013-01-01,17023,2013
0.3177844199033209,Gallatin,2013-01-01,17059,2013
0.07137544461939384,Iroquois,2013-01-01,17075,2013
0.2263567195629775,Douglas,2013-01-01,17041,2013
0.2705342709605667,Washington,2013-01-01,17189,2013
0.030167461742707114,Richland,2013-01-01,17159,2013
0.06589916776094891,Hamilton,2013-01-01,17065,2013
0.18116718405189144,White,2013-01-01,17193,2013
0.13595537531884286,Schuyler,2013-01-01,17169,2013
0.21378950579353928,Union,2013-01-01,17181,2013
-0.00474969040823788,Jo Daviess,2013-01-01,17085,2013
0.31269224027686504,Mason,2013-01-01,17125,2013
0.052879288428587946,Wayne,2013-01-01,17191,2013
0.4489133579257262,Hardin,2013-01-01,17069,2013
0.32361923639029266,Greene,2013-01-01,17061,2013
0.39055769753243996,Randolph,2013-01-01,17157,2013
0.24077969187740278,Pike,2013-01-01,17149,2013
0.26194121245956403,Perry,2013-01-01,17145,2013
0.42167989318357013,Johnson,2013-01-01,17087,2013
0.20086833241626256,Shelby,2013-01-01,17173,2013
0.23088363969335665,Fayette,2013-01-01,17051,2013
0.23897308548978277,Moultrie,2013-01-01,17139,2013
0.3073844203668923,Cass,2013-01-01,17017,2013
0.03034522569358347,Carroll,2013-01-01,17015,2013
-0.009962106360565008,Edwards,2013-01-01,17047,2013
0.10959608041919677,Jasper,2013-01-01,17079,2013
0.01989648346100322,Warren,2013-01-01,17187,2013
0.30472969722246923,Pulaski,2013-01-01,17153,2013
0.11563491485911206,Saline,2013-01-01,17165,2013
0.07340230403605223,Lawrence,2013-01-01,17101,2013
0.0784560823425638,Edgar,2013-01-01,17045,2013
0.0421669034471342,Henderson,2013-01-01,17071,2013
0.08734270145410479,Williamson,2013-01-01,17199,2013
0.22477608490309162,Jackson,2013-01-01,17077,2013
0.10072570921698978,Piatt,2013-01-01,17147,2013
0.11040701320764582,Ford,2013-01-01,17053,2013
0.0799221565878247,Champaign,2013-01-01,17019,2013
0.27050410611342357,Coles,2013-01-01,17029,2013
0.26350886390692346,Cumberland,2013-01-01,17035,2013
0.12895690920082387,Vermilion,2013-01-01,17183,2013
0.18570571023172092,Macon,2013-01-01,17115,2013
0.1383237291180305,Effingham,2013-01-01,17049,2013
0.03191380390354237,Hancock,2013-01-01,17067,2013
0.027832736726303552,Knox,2013-01-01,17095,2013
0.0043243157117203385,McDonough,2013-01-01,17109,2013
0.28734533330434736,Jefferson,2013-01-01,17081,2013
0.16111867481667008,McLean,2013-01-01,17113,2013
0.204274516733589,De Witt,2013-01-01,17039,2013
0.22441337140794398,Livingston,2013-01-01,17105,2013
0.2488232681426302,Alexander,2013-01-01,17003,2013
0.2837991582479863,Kendall,2013-01-01,17093,2013
0.2898241308587183,Cook,2013-01-01,17031,2013
0.24998078829108666,DeKalb,2013-01-01,17037,2013
0.25261824696981616,Kane,2013-01-01,17089,2013
0.27993065381903987,Grundy,2013-01-01,17063,2013
0.19777061263136894,McHenry,2013-01-01,17111,2013
0.29134539916553837,Will,2013-01-01,17197,2013
0.2919466566127164,DuPage,2013-01-01,17043,2013
0.2952884863962045,Lake,2013-01-01,17097,2013
0.2294690162875017,Kankakee,2013-01-01,17091,2013
0.14385012795235005,Bureau,2013-01-01,17011,2013
0.2561020365105077,Putnam,2013-01-01,17155,2013
0.26621520869444093,LaSalle,2013-01-01,17099,2013
0.03129505105464808,Mercer,2013-01-01,17131,2013
0.07657223575369053,Rock Island,2013-01-01,17161,2013
0.045659616259274484,Henry,2013-01-01,17073,2013
0.25815205394070834,Lee,2013-01-01,17103,2013
0.13870347444140657,Whiteside,2013-01-01,17195,2013
0.3673242068111249,Marion,2013-01-17,17121,2013
0.37463358510456907,Bond,2013-01-17,17005,2013
0.3414472517279465,Jersey,2013-01-17,17083,2013
0.3847211952065597,St. Clair,2013-01-17,17163,2013
0.41387807987577363,Clinton,2013-01-17,17027,2013
0.37666900650264795,Calhoun,2013-01-17,17013,2013
0.38091721828764746,Madison,2013-01-17,17119,2013
0.35561220463524185,Monroe,2013-01-17,17133,2013
0.3288566529355326,Macoupin,2013-01-17,17117,2013
