feature,mean_abs_shap
ndvi_peak,7.734622646096377
temp_anomaly,4.513630123384393
rolling_3yr_mean,3.719677244091772
ndvi_at_cutoff,3.503665852814604
ndvi_auc,2.256306908947539
cumulative_gdd,1.1971235070260067
ndvi_anomaly,1.1736400243041378
ndvi_slope,0.8049313084712454
yield_std_5yr,0.762265879204839
rain_days,0.6454508115785647
rain_sum_mm,0.6325308480055138
heat_rain_stress_idx,0.6259317099570829
yield_trend_5yr,0.6165707473465503
water_balance_total_mm,0.461829128248733
et_rain_ratio,0.41793474562446503
net_moisture_stress,0.18014945587075373
heat_days_gt32,0.17956348288866097
ndvi_drop_rate,0.08484503358616627
day_of_peak_ndvi,0.0
