,2023,2024,ratio_b_to_a
ndvi_peak,8.887356789333333,8.461348848154362,0.9520658446288249
temp_anomaly,7.467075635610177,9.074938070753097,1.215326924971148
net_moisture_stress,5.494798839714898,3.29871020134086,0.6003332055577154
county,2.8519715182425456,3.9406978188114135,1.3817451519430908
rolling_3yr_mean,1.8302233396381633,4.036770384055948,2.205616274598498
ndvi_slope,1.381669521508544,1.7588205981548413,1.2729676458626038
heat_days_gt32,1.3615596891296056,0.7762665212864093,0.5701303640846238
